act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven,act_finger_lt0,act_finger_rg0,act_finger_md0,act_finger_if0,act_finger_if1,act_finger_if2,act_finger_tb0,act_finger_tb1,act_finger_tb2
6.188198825317037244e-01,5.115354201420259095e-01,4.936824598263517827e-01,6.050413905195122233e-01,5.257998730369936036e-01,4.897670615699502572e-01,4.955377507436998785e-01,1.150285265317076318e-02,1.620289462937337874e-02,2.178624571274014043e-02,6.051477659082803724e-09,2.928414783620590656e-02,6.707936469955360382e-08,5.000000018994693596e-01,3.663409955239018811e-03,1.348588790799757908e-01
6.183338955227142275e-01,5.134298504464326340e-01,4.923455045325911272e-01,6.205556573439235946e-01,5.284861575344278473e-01,4.860203511626630113e-01,4.966943981695747246e-01,1.148054188518211893e-02,1.636488709724376669e-02,2.172885535444466637e-02,3.440874369983459031e-09,2.901635563059855316e-02,6.549152462575573652e-08,5.000000015820179611e-01,3.388750036763275852e-03,1.354197782754230361e-01
6.181200521287136818e-01,5.153560007539532695e-01,4.913154467236856560e-01,6.012715587977985887e-01,5.312716260805310231e-01,4.823471509290594983e-01,4.982994365853529173e-01,1.156121219057367269e-02,1.649163492984830406e-02,2.154198165018959832e-02,3.941103561385927163e-09,2.860437753233378844e-02,6.603495785367299559e-08,5.000000016409714698e-01,3.090055982067638554e-03,1.355598954954051194e-01
6.174184777173371552e-01,5.166915626597236022e-01,4.907548741578326434e-01,5.782126181459495973e-01,5.334976690183574899e-01,4.783095836172518434e-01,4.990661872184304904e-01,1.175390508953903963e-02,1.660958945136887729e-02,2.132273731686160079e-02,5.828135425486590533e-09,2.850136772059640167e-02,6.717865909868487324e-08,5.000000018626438170e-01,3.015371088101491577e-03,1.349048711647334864e-01
6.167838609581229870e-01,5.176189337668815060e-01,4.909442079738478570e-01,5.652615237707976359e-01,5.357449001242893249e-01,4.744036838110919363e-01,4.983845404711611526e-01,1.180208646077860260e-02,1.672534524363729000e-02,2.126791787374436929e-02,6.917179835693997587e-09,2.830308997366058621e-02,6.782760234656934293e-08,5.000000019783135130e-01,2.766666228139482656e-03,1.343960475371177021e-01
6.164177841686934167e-01,5.182312421940409308e-01,4.910063885310247955e-01,5.567134384685958892e-01,5.370615779336047613e-01,4.723030115379955873e-01,4.994075735095755419e-01,1.181412915232065049e-02,1.675428400968766510e-02,2.116795310233865815e-02,6.844005480230163370e-09,2.825351880484237854e-02,6.875615992218076217e-08,5.000000019632985238e-01,2.704486944855072524e-03,1.335787512945969535e-01
6.165231278723548591e-01,5.196219484006431300e-01,4.917396879078726468e-01,5.408432428924263569e-01,5.395498863155536728e-01,4.673463640949718778e-01,5.016427139003659663e-01,1.421093596446324804e-02,1.753788547333204328e-02,2.097043699139917658e-02,6.249317625714167219e-09,2.996638569640162897e-02,7.003255272501921966e-08,5.000000018980086391e-01,2.228874040148531247e-03,1.340645133571599090e-01
6.170690254685479159e-01,5.215106294227720429e-01,4.927337018783350953e-01,5.177306314474620086e-01,5.418142924818295514e-01,4.630761254565077256e-01,5.047083555072436889e-01,1.481017225995316829e-02,1.799258225965498503e-02,2.109357467870929051e-02,6.666896486093020497e-09,3.194734668635641067e-02,7.043488873630939506e-08,5.000000019458749057e-01,2.109964164429216967e-03,1.334958793154634171e-01
6.184408105635186281e-01,5.240551860643775095e-01,4.935539793358481586e-01,4.972844435125135520e-01,5.432187017951735086e-01,4.593103915136371174e-01,5.087938602873179894e-01,1.495997381949150905e-02,1.888262821332824595e-02,2.172820589573266209e-02,6.569376271966786147e-09,3.244261581214380463e-02,7.223853333682180699e-08,5.000000019363819437e-01,1.850204001243812820e-03,1.333537069985855639e-01
6.199035530339326305e-01,5.257737516800439215e-01,4.935152774115782459e-01,4.848719726834965216e-01,5.395452079741731577e-01,4.572524572713395630e-01,5.121648230502129362e-01,1.620508105143653871e-02,1.970897205187892645e-02,2.283574369843861113e-02,6.465055275680907938e-09,3.256642191480443871e-02,7.340183718993454088e-08,5.000000019070431900e-01,1.785263969850902754e-03,1.329731238963862416e-01
6.209947511388019814e-01,5.269476405620295845e-01,4.934620895312551436e-01,4.751324457639706789e-01,5.381723850420255806e-01,4.554116857214289271e-01,5.136488224531167157e-01,1.677518548630714881e-02,2.008810689856107071e-02,2.302639649204913513e-02,5.883724736418781971e-09,3.242484941739035009e-02,7.449047185849468135e-08,5.000000018128089030e-01,1.769027741781716619e-03,1.321878697064815256e-01
6.215921780091057114e-01,5.271879956017343494e-01,4.936355444880246024e-01,4.695643737005321672e-01,5.378019823134155830e-01,4.539505576853603008e-01,5.145601633414023102e-01,1.674517911205143997e-02,2.018288679670894592e-02,2.298779029620734438e-02,5.940434928516634967e-09,3.221692698595016169e-02,7.549324184440056786e-08,5.000000018232636512e-01,1.764969186936500697e-03,1.319915520028028810e-01
6.218614286683381565e-01,5.271884835474462960e-01,4.937829285254388134e-01,4.655050208188142857e-01,5.381937173479411918e-01,4.531017068001791381e-01,5.154873205888034216e-01,1.673767589241236670e-02,2.020658066760939661e-02,2.289187606705394076e-02,5.959725275614101987e-09,3.181989153688161154e-02,7.640151514067360307e-08,5.000000018413804925e-01,1.533918120786385885e-03,1.315974244794793357e-01
