act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven,act_finger_lt0,act_finger_rg0,act_finger_md0,act_finger_if0,act_finger_if1,act_finger_if2,act_finger_tb0,act_finger_tb1,act_finger_tb2
7.420372811888337194e-01,4.970583945472436538e-01,5.023532175890168539e-01,3.184291071299325676e-02,5.079615293985786373e-01,5.035572691802880918e-01,4.880762615242169034e-01,1.246461147042804245e-02,9.963052428333762575e-03,1.125696163776861158e-02,1.210425421186665236e-08,1.565623479825630285e-02,2.234088928746576566e-02,5.000637134235507153e-01,9.833385105575059154e-03,1.623120713282168726e-01
7.340750651333367571e-01,4.936883831488999008e-01,4.997445915290344987e-01,6.368601152198256898e-02,5.068883434045277081e-01,5.090774631944501305e-01,4.817722854397174514e-01,1.972184529230697897e-02,1.219545085870749751e-02,1.329531907912925165e-02,8.615694053856469976e-09,2.198627221254069453e-02,5.586156967181816514e-03,5.000159286491958621e-01,1.574277538653943292e-02,1.967988368887599870e-01
7.261128285840803276e-01,4.904751564903344074e-01,4.974047066185265376e-01,9.553001019837357999e-02,5.011637750833215499e-01,5.075694218631634502e-01,4.731315586028472797e-01,2.050102809858496064e-02,1.189089816291963655e-02,1.285597970613429342e-02,7.183724843981264270e-09,2.546652506457930398e-02,1.396631564901677693e-03,5.000039830744429370e-01,1.768031526627956984e-02,2.033525520951197096e-01
7.181505836895842876e-01,4.879115622690868848e-01,4.975126958816024070e-01,1.273743588492544376e-01,4.977260426991985676e-01,5.074149220617878431e-01,4.711181504170608436e-01,2.069586219367710797e-02,1.146972216398984938e-02,1.231483819514568590e-02,6.379988211177289044e-09,2.650921223248463646e-02,3.492269363388911404e-04,5.000009970589502917e-01,1.747467006797876962e-02,2.018859422828915562e-01
7.101883395443560065e-01,4.830549247293092763e-01,4.962083073840271585e-01,1.592178075802176962e-01,4.940514214011255123e-01,5.068763615448418358e-01,4.688593380615028172e-01,2.048579209852778929e-02,1.110564834273499064e-02,1.157572940637825905e-02,5.987141567073405452e-09,2.659735843274267306e-02,8.742018244927324570e-05,5.000002505439408163e-01,1.627310037448036553e-02,1.987589842244034954e-01
7.022260989537872922e-01,4.763856350913851512e-01,4.949510481097023629e-01,1.910611491619464974e-01,4.892731097102765436e-01,5.081966260477251973e-01,4.663970953133083075e-01,2.034701171980358644e-02,1.066959023504678722e-02,1.121842131514511585e-02,6.028665684551225707e-09,2.730946743980329841e-02,2.197549006831813953e-05,5.000000639515570500e-01,1.551263860076301966e-02,1.959070185204271064e-01
6.942638694756246842e-01,4.703347301862008112e-01,4.966493794059629874e-01,2.229052001079020739e-01,4.865877937173943013e-01,5.097210598464827491e-01,4.657744808733871311e-01,2.022604971187157152e-02,1.038803591711898698e-02,1.095656067948317172e-02,5.972527479355659592e-09,2.731500472165675208e-02,5.607787733518175144e-06,5.000000173494650868e-01,1.509247026243773493e-02,1.941588318336711916e-01
6.863016545523673573e-01,4.650669567533793902e-01,4.994496105164985544e-01,2.547494059138954436e-01,4.838413023894123643e-01,5.102843339373621667e-01,4.646207396680786528e-01,2.002328576403222121e-02,1.005885690452844490e-02,1.063230716873845780e-02,5.822439537281053630e-09,2.610876548343347980e-02,1.509940423848985708e-06,5.000000056934569281e-01,1.475738502833620798e-02,1.916514900782064212e-01
6.783394579376743616e-01,4.613857554396155192e-01,5.023417478401729364e-01,2.865940434704064010e-01,4.822125640508755362e-01,5.102409175632987015e-01,4.629279982037789454e-01,1.962754038936393233e-02,9.372720795114745929e-03,9.882705965504343451e-03,5.730204872930454725e-09,2.114909154139758829e-02,4.801119007037344933e-07,5.000000027722412144e-01,1.421353822278034230e-02,1.868839727957219976e-01
6.703772773052020240e-01,4.595505007376372575e-01,5.074792517933923719e-01,3.184381701212108395e-01,4.825403964940259138e-01,5.115975529210881056e-01,4.628326123451811935e-01,1.728579997998639511e-02,7.670032571905282918e-03,9.005195954820327531e-03,5.689435707109379576e-09,1.852881785102693246e-02,2.186420864184462677e-07,5.000000020377686205e-01,1.407756415910939307e-02,1.791360829720139158e-01
