act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven,act_finger_lt0,act_finger_rg0,act_finger_md0,act_finger_if0,act_finger_if1,act_finger_if2,act_finger_tb0,act_finger_tb1,act_finger_tb2
7.431880926751360805e-01,4.988981444567782697e-01,4.972976905215688581e-01,2.086508120989538639e-02,5.060497684358893355e-01,5.020493410921570421e-01,5.012648360987089768e-01,2.048570016102062383e-03,1.962311080169145197e-03,4.722483501619210988e-03,1.149116753145962977e-08,8.582400716912364988e-03,1.952657211560962377e-08,5.000637252396181731e-01,5.922845818200314291e-03,1.227004455629711471e-01
7.388959395314261824e-01,4.982339756449970514e-01,4.980290412571208858e-01,4.043881666764656546e-02,5.071100056412474189e-01,5.012053345410077965e-01,5.001713640005424066e-01,2.560879913834784600e-03,2.453050441337424094e-03,5.989753691304252996e-03,8.533531617501373345e-09,1.072870357854542774e-02,2.422060236092377076e-08,5.000159332139029189e-01,7.634097447364126925e-03,1.534255595738835964e-01
7.315504422515806127e-01,4.960871903619891721e-01,4.992137269892523155e-01,7.228327887299325349e-02,5.110746551889857603e-01,4.977784135902914575e-01,4.953821377647552593e-01,2.688995299750483563e-03,2.662033546117298800e-03,6.479180975974187934e-03,7.005996789485590410e-09,1.126543561415307981e-02,2.979823716168518201e-08,5.000039848732297232e-01,8.062016906952190406e-03,1.614548782583297704e-01
7.235882302897593821e-01,4.923726221756530852e-01,4.992650910447316015e-01,1.041272090351863799e-01,5.133349795330052201e-01,4.978902347008935525e-01,4.933022133803284248e-01,2.721020192639984035e-03,2.714278540068302669e-03,6.687793817024183587e-03,5.855958502662116656e-09,1.226221694192979918e-02,3.454382404666308970e-08,5.000009975297700082e-01,9.089104466053828102e-03,1.624269797829045736e-01
7.156259796382817839e-01,4.882722545020632965e-01,5.012036388421865496e-01,1.359711150966830540e-01,5.106450364400578756e-01,4.984756627081723956e-01,4.927427391420701741e-01,2.729023772678877170e-03,2.813596333884962452e-03,6.912461576453748403e-03,6.108378809540892247e-09,1.302897282593943121e-02,3.795151362660506509e-08,5.000002507515149963e-01,9.345883323704704676e-03,1.595645785156938334e-01
7.076637338313098713e-01,4.838744821111025107e-01,5.023172884235876934e-01,1.678152503630142844e-01,5.048232923124933436e-01,4.984209954687960353e-01,4.906952258513614940e-01,2.731025209166861555e-03,2.752173664340172403e-03,7.054898831317643615e-03,5.958128330815481162e-09,1.322070120986591595e-02,4.198057070953543798e-08,5.000000640362042281e-01,9.640118199489552953e-03,1.567787172021498365e-01
6.997014998102417671e-01,4.812718946844883328e-01,5.021122766697412310e-01,1.996598095579865673e-01,4.972113026001015457e-01,5.020526229411945707e-01,4.825030657340621532e-01,2.731524785256434461e-03,2.736811635934544192e-03,7.004257626269037341e-03,5.946233845418857085e-09,1.309612059461935478e-02,4.503341744193177812e-08,5.000000174511163298e-01,3.273034358656445875e-03,1.474560063795809506e-01
6.917392695478384868e-01,4.798835809677249320e-01,5.047068182250447066e-01,2.315041038431403797e-01,4.905585314009608400e-01,5.105997863942800530e-01,4.759956469188151296e-01,2.731650762284212278e-03,2.732972107487618811e-03,6.991591383996366947e-03,6.105858159185783291e-09,1.323747748725092634e-02,4.732880921678049549e-08,5.000000057254696539e-01,8.181131902282454604e-04,1.292532753804100931e-01
6.837770519595081087e-01,4.770778599099341766e-01,5.062125551194166517e-01,2.633483822557313725e-01,4.844441209036152718e-01,5.178537372495667368e-01,4.640093379393758211e-01,2.127870334701470554e-03,2.214470942549130825e-03,6.557140229231124030e-03,6.085903454630380578e-09,1.292779910365573527e-02,4.973775709919950630e-08,5.000000027493158861e-01,2.042027920182453479e-04,1.164202302370400399e-01
6.758148461043252953e-01,4.732753589211569079e-01,5.067323829720656869e-01,2.951925233704234541e-01,4.798678309858974700e-01,5.236541706905398774e-01,4.578359851625163346e-01,1.631836077763417674e-03,1.826030019454726863e-03,6.189718825339123737e-03,6.153275340478313877e-09,1.233278472839685093e-02,5.195830264263592779e-08,5.000000020205148665e-01,7.354328948230318304e-03,1.145923033549381964e-01
6.678526575702093959e-01,4.689278528748392350e-01,5.059809330424728246e-01,3.270365864226746910e-01,4.774166934620284186e-01,5.283836726432231679e-01,4.561236220124614826e-01,1.507829154669335092e-03,1.728920936243271821e-03,6.097863151323422784e-03,6.129769698600950063e-09,1.218402346096127999e-02,5.416324760347526983e-08,5.000000018755804687e-01,9.142187828560697019e-03,1.141355717116007834e-01
6.598904892785030230e-01,4.657821494680946528e-01,5.062063426560161616e-01,3.588813381326988461e-01,4.784769919464443855e-01,5.330693183480292863e-01,4.554182568645687157e-01,1.304300974774857610e-03,1.532120183814356844e-03,6.074896758954739968e-03,5.927755293396995979e-09,1.231935519425076016e-02,5.714123789837811389e-08,5.000000018426701276e-01,7.518905236031306685e-03,1.009094860248281877e-01
6.519283433785342252e-01,4.641461092394962296e-01,5.071821540850427468e-01,3.907261291738490239e-01,4.861408433057160527e-01,5.377788660083899774e-01,4.551992319358942329e-01,1.253413162260068109e-03,1.482912634233542063e-03,6.241666783226772382e-03,5.622016747805202170e-09,1.235319183634390333e-02,5.983906690151897541e-08,5.000000017388201989e-01,5.732909208243513154e-03,9.173703254948198382e-02
6.439662193940224322e-01,4.643309117634962235e-01,5.070746702644001180e-01,4.225706740061141442e-01,4.941018826865843927e-01,5.420490855674334751e-01,4.561352201790876415e-01,1.326949250325272457e-03,1.470608833646195462e-03,6.542148382973146485e-03,5.682570087925097608e-09,1.391430457708059398e-02,6.265272805497355455e-08,5.000000017831179866e-01,4.136118913578291402e-03,8.633785664914390978e-02
6.360041129610281008e-01,4.664614067268861852e-01,5.070277856974415576e-01,4.544149483205445761e-01,4.984806848379977895e-01,5.467257519869506144e-01,4.595615597630208771e-01,1.517866963997868170e-03,1.553794377300876575e-03,6.789804801122354197e-03,6.034785233862959570e-09,1.533985332987765869e-02,6.531874821222106407e-08,5.000000019432799814e-01,3.046788059745530932e-03,8.188282895916972060e-02
6.280420249698803747e-01,4.700123005575243540e-01,5.080089220833566843e-01,4.862589905392293299e-01,5.002258520041480416e-01,5.486337543500620084e-01,4.600840499736517097e-01,1.824386216385560401e-03,1.660853325416920519e-03,7.283023120830011375e-03,5.966230294359985704e-09,1.845659180773729161e-02,6.759989597987493699e-08,5.000000019040284904e-01,1.624357646489722317e-03,7.938899959750883584e-02
