act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven
7.420372750331756251e-01,4.920392936943949747e-01,4.999660474691917655e-01,3.184137007077256221e-02,5.063157299310486748e-01,5.060563358534384548e-01,4.861466685705341795e-01
7.340750674696121525e-01,4.856761948467246404e-01,4.977652713167562970e-01,6.368458126344818393e-02,5.029984258862104651e-01,5.109882075482021779e-01,4.701803992024528034e-01
7.261128346117708965e-01,4.836828866227297907e-01,4.977477259774620300e-01,9.552894452469253006e-02,4.985296372799421505e-01,5.122197566261114110e-01,4.581452870418926127e-01
7.181505920549962063e-01,4.847408846024108264e-01,4.995595011072544445e-01,1.273728978643594301e-01,4.987392725745972144e-01,5.183874141981756889e-01,4.611470317887307324e-01
7.101883523731838954e-01,4.870950254648249156e-01,4.989854634169770264e-01,1.592169450819914678e-01,5.066207760306083996e-01,5.225371019426943153e-01,4.670246984026892867e-01
7.022261061956457384e-01,4.888887669867183483e-01,4.972794945334443328e-01,1.910612016290198500e-01,5.127933316311554801e-01,5.093520409923526504e-01,4.770594616653996978e-01
6.942638768479297839e-01,4.908186269623963649e-01,4.957660023816095607e-01,2.229056343176473443e-01,5.129862939446465653e-01,4.997966010914135504e-01,4.828310732086663060e-01
6.863016546502216375e-01,4.920878880896285557e-01,4.944331168382944952e-01,2.547501800468888744e-01,5.144798210316160469e-01,4.994095947155708370e-01,4.840236381077212546e-01
6.783394382911356324e-01,4.932759503493391318e-01,4.942325057366199759e-01,2.865947082551441594e-01,5.163383825180687392e-01,4.988959544056494333e-01,4.847764328526923960e-01
6.703772358495172501e-01,4.940643638683183125e-01,4.934888262936873438e-01,3.184392128236305797e-01,5.167931053695711263e-01,4.984117964417291158e-01,4.853922938338380844e-01
6.624150470539675872e-01,4.955709743237259324e-01,4.940700580708265455e-01,3.502836103823411262e-01,5.170603910503732692e-01,5.009394427543470973e-01,4.894034256595601318e-01
6.544528765302844997e-01,4.984122381590975204e-01,4.949213038360869565e-01,3.821277990272742286e-01,5.173561534602932888e-01,5.011590380883851337e-01,4.907487695295245644e-01
6.464907234423461491e-01,5.013876043654702519e-01,4.958125432293327695e-01,4.139721533095233608e-01,5.178928820255398469e-01,5.016462135296290148e-01,4.919004644800911152e-01
6.385285899653446728e-01,5.040898141281432432e-01,4.968339921089786060e-01,4.458165953814064997e-01,5.186459125043225704e-01,5.010518988241829952e-01,4.918094293140707896e-01
6.305664783434804521e-01,5.061124503236430483e-01,4.963564004142180797e-01,4.776611319757032570e-01,5.194577678573578661e-01,5.004452149223319601e-01,4.917272331077338077e-01
6.237604329000409065e-01,5.078475347345162705e-01,4.958961927780073942e-01,5.095060599022960268e-01,5.206454765845199839e-01,4.996677448293265766e-01,4.917657660801753594e-01
6.211462736405196639e-01,5.088546429436107132e-01,4.959238984732471933e-01,5.413514522322454559e-01,5.223599051799339144e-01,4.972299338841745797e-01,4.923152552158590600e-01
6.199534443726607558e-01,5.100528391462286759e-01,4.950825884885947104e-01,5.731964472387863774e-01,5.237981592627241056e-01,4.940996956091860404e-01,4.939859621039261461e-01
6.188198825317037244e-01,5.115354201420259095e-01,4.936824598263517827e-01,6.050413905195122233e-01,5.257998730369936036e-01,4.897670615699502572e-01,4.955377507436998785e-01
6.183338955227142275e-01,5.134298504464326340e-01,4.923455045325911272e-01,6.205556573439235946e-01,5.284861575344278473e-01,4.860203511626630113e-01,4.966943981695747246e-01
6.181200521287136818e-01,5.153560007539532695e-01,4.913154467236856560e-01,6.012715587977985887e-01,5.312716260805310231e-01,4.823471509290594983e-01,4.982994365853529173e-01
6.174184777173371552e-01,5.166915626597236022e-01,4.907548741578326434e-01,5.782126181459495973e-01,5.334976690183574899e-01,4.783095836172518434e-01,4.990661872184304904e-01
6.167838609581229870e-01,5.176189337668815060e-01,4.909442079738478570e-01,5.652615237707976359e-01,5.357449001242893249e-01,4.744036838110919363e-01,4.983845404711611526e-01
6.164177841686934167e-01,5.182312421940409308e-01,4.910063885310247955e-01,5.567134384685958892e-01,5.370615779336047613e-01,4.723030115379955873e-01,4.994075735095755419e-01
6.165231278723548591e-01,5.196219484006431300e-01,4.917396879078726468e-01,5.408432428924263569e-01,5.395498863155536728e-01,4.673463640949718778e-01,5.016427139003659663e-01
6.170690254685479159e-01,5.215106294227720429e-01,4.927337018783350953e-01,5.177306314474620086e-01,5.418142924818295514e-01,4.630761254565077256e-01,5.047083555072436889e-01
6.184408105635186281e-01,5.240551860643775095e-01,4.935539793358481586e-01,4.972844435125135520e-01,5.432187017951735086e-01,4.593103915136371174e-01,5.087938602873179894e-01
6.199035530339326305e-01,5.257737516800439215e-01,4.935152774115782459e-01,4.848719726834965216e-01,5.395452079741731577e-01,4.572524572713395630e-01,5.121648230502129362e-01
6.209947511388019814e-01,5.269476405620295845e-01,4.934620895312551436e-01,4.751324457639706789e-01,5.381723850420255806e-01,4.554116857214289271e-01,5.136488224531167157e-01
6.215921780091057114e-01,5.271879956017343494e-01,4.936355444880246024e-01,4.695643737005321672e-01,5.378019823134155830e-01,4.539505576853603008e-01,5.145601633414023102e-01
6.218614286683381565e-01,5.271884835474462960e-01,4.937829285254388134e-01,4.655050208188142857e-01,5.381937173479411918e-01,4.531017068001791381e-01,5.154873205888034216e-01
6.228041217384832073e-01,5.279243746900260659e-01,4.947808391563993102e-01,4.575374624359574427e-01,5.386291044712032683e-01,4.538879901680965001e-01,5.179796389176292148e-01
6.239662419682679984e-01,5.283604875786346300e-01,4.957793168346152357e-01,4.448200271353504043e-01,5.387103411092771799e-01,4.542592543909576008e-01,5.200582392406593035e-01
6.251233566322884627e-01,5.291575284311318406e-01,4.970494184843338714e-01,4.327209317074139916e-01,5.388209806684446379e-01,4.530051294917862847e-01,5.204927366749216855e-01
6.270704628477192788e-01,5.296427027712135027e-01,4.973107098192312558e-01,4.209206108546872938e-01,5.392246181106067349e-01,4.527131041043028215e-01,5.219691750915846917e-01
6.292060794701133108e-01,5.305097952691708585e-01,4.973717308634064138e-01,4.072711605930702250e-01,5.383080835167267653e-01,4.521765552397107868e-01,5.229242877467138451e-01
6.311681332364070807e-01,5.312131818710397191e-01,4.977769438762408849e-01,3.957481550696734240e-01,5.395518212252419232e-01,4.516159535561144467e-01,5.236328171794359942e-01
6.326768085027697497e-01,5.312885301183137843e-01,4.986736762731195372e-01,3.865491320878577941e-01,5.403372165212724232e-01,4.510952575946793885e-01,5.242485169006299017e-01
6.334074107302526402e-01,5.312839743698526407e-01,4.994923204170989006e-01,3.775197283601702813e-01,5.394941021634985789e-01,4.506383500937797271e-01,5.248267119202183473e-01
6.340198127469812706e-01,5.313149355396244999e-01,5.005508215807605854e-01,3.667923610243475352e-01,5.385258597585439455e-01,4.502185985953955361e-01,5.253409841449939721e-01
6.350404757713529191e-01,5.312065899592574025e-01,5.015085874980524938e-01,3.555320057880385631e-01,5.411002773878138550e-01,4.533854942525836207e-01,5.306686430671538890e-01
6.362962539870862244e-01,5.315006568183975322e-01,5.017786817338580896e-01,3.423544441543845962e-01,5.463899022082855383e-01,4.469557938039800393e-01,5.346778257921366295e-01
6.370718734856629650e-01,5.319175324634227708e-01,5.020883851100084172e-01,3.348999435465252472e-01,5.481841912107685566e-01,4.416346707123172122e-01,5.428310497041104465e-01
6.376088644968515018e-01,5.316459439353978800e-01,5.024751413601643568e-01,3.310580338045571724e-01,5.487071978284644436e-01,4.366246852447872584e-01,5.534875294592888073e-01
6.380367101723355416e-01,5.316048943343449906e-01,5.024982926859222765e-01,3.251654034829551954e-01,5.473407196976337596e-01,4.317329379098555631e-01,5.562465159147361726e-01
6.385356537881230476e-01,5.312975622659936725e-01,5.030413686518321326e-01,3.168163930771890069e-01,5.454026948937055197e-01,4.269409463432118912e-01,5.630785287246728998e-01
6.391759882923159219e-01,5.308590515832274370e-01,5.038357447357497687e-01,3.112827658851489154e-01,5.440113413178371271e-01,4.222817860808728008e-01,5.640695085738903769e-01
6.400974571862660945e-01,5.308610155363745475e-01,5.040812334746734846e-01,3.030238867347352927e-01,5.416077927013547288e-01,4.178574977751015607e-01,5.645517188234216999e-01
6.411293157535188358e-01,5.310388068946259033e-01,5.035359266458779848e-01,2.937722311245618001e-01,5.385658480897146383e-01,4.136403505707569872e-01,5.648040874780200227e-01
6.425165741553419130e-01,5.309529409929442112e-01,5.029095618859893424e-01,2.823847933451975045e-01,5.374576001770309253e-01,4.089846477178950002e-01,5.651835886117464458e-01
6.440657089171474281e-01,5.308410805660827014e-01,5.025395917491035647e-01,2.715851598701890524e-01,5.372402543656175089e-01,4.042149847213798997e-01,5.647077531609951961e-01
6.454726348506966138e-01,5.307399822215755902e-01,5.025553301868335154e-01,2.628716547981194696e-01,5.374463070154217315e-01,4.021118404478717379e-01,5.648137983702835596e-01
6.463445365267409537e-01,5.307509804867781567e-01,5.026025171231536248e-01,2.551264564493623266e-01,5.375119907337120306e-01,4.009830242562398839e-01,5.651633748083844111e-01
6.465180869491850002e-01,5.310203861687907700e-01,5.027509778433710830e-01,2.509362854606584925e-01,5.377355158647508793e-01,3.968917516486765162e-01,5.653450915705648949e-01
6.467352055546278233e-01,5.312648082111525172e-01,5.025303100440343673e-01,2.472629033392811926e-01,5.377517181696496174e-01,3.944589512790256380e-01,5.654049331662583944e-01
6.473970945048589387e-01,5.313251913210103039e-01,5.019867358710594640e-01,2.434939924300055514e-01,5.391171003689244623e-01,3.898148252439048722e-01,5.655987683588393766e-01
6.475330834322206019e-01,5.314644906904653077e-01,5.013809214251390145e-01,2.395324472716982012e-01,5.394216530098134843e-01,3.866021177609320070e-01,5.662403647785869687e-01
6.476018761788694400e-01,5.311799591678225685e-01,5.012211953647447427e-01,2.355514700457444488e-01,5.392678016853259537e-01,3.845572016674569937e-01,5.672692601355188158e-01
6.480431908928308005e-01,5.304990712312607215e-01,5.021942615624233053e-01,2.323481088772325343e-01,5.387984435906337799e-01,3.847003941968570873e-01,5.688817989505490225e-01
6.486242456493593878e-01,5.295428336489175214e-01,5.026729816611026358e-01,2.295700359665109602e-01,5.389677838124428133e-01,3.844132891133108521e-01,5.697600016105729415e-01
6.494345971302249998e-01,5.288369685317869662e-01,5.028059014728487597e-01,2.265679946641338816e-01,5.394418467551996832e-01,3.840474095756570283e-01,5.702919296021820017e-01
6.507963969381765912e-01,5.282720377563678849e-01,5.027963156043490089e-01,2.213094766729848395e-01,5.400977463291297687e-01,3.828446822806430561e-01,5.700718923151387729e-01
6.516366898065153457e-01,5.279427435658035073e-01,5.025182285889991940e-01,2.168840219176060569e-01,5.405473218865435303e-01,3.821951415540097430e-01,5.702990108092912402e-01
6.520126311551113218e-01,5.279824456693307244e-01,5.021542187342181718e-01,2.140909531540843569e-01,5.406093490147284575e-01,3.816694066356307036e-01,5.705068665669453809e-01
6.525111422493572455e-01,5.280577024464043756e-01,5.017086252457622075e-01,2.102686936879590296e-01,5.401551885608956161e-01,3.814319195521899131e-01,5.709170496512175896e-01
6.530080665539675921e-01,5.283033427613281763e-01,5.008628584231092917e-01,2.066967820555894175e-01,5.397420169797164657e-01,3.808657221522290248e-01,5.707867678537993372e-01
6.536597412581848232e-01,5.286856588090881326e-01,5.002033172797880622e-01,2.043988145600939277e-01,5.392246008240895172e-01,3.805204960099464184e-01,5.707423538359167603e-01
6.543189895260624889e-01,5.290490604556178367e-01,4.996311414321055744e-01,2.018926983697175714e-01,5.390024863588428472e-01,3.803574462198524020e-01,5.706967866185093108e-01
6.547986145697346494e-01,5.294638653220781199e-01,4.994475227510915549e-01,1.992980845278038982e-01,5.391021787929287656e-01,3.799936921048640559e-01,5.703931277292052515e-01
6.550786330419977599e-01,5.299254029491938800e-01,4.998372250362334568e-01,1.954878798100786186e-01,5.392990757830388171e-01,3.794035294041926965e-01,5.698007655424482953e-01
