act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven
5.438925667570421174e-01,4.651438205668436132e-01,4.546401125787123410e-01,9.999414391381952205e-01,4.607775012182444008e-01,4.162340688919039522e-01,4.531998642496791740e-01
5.432193093912141002e-01,4.652132307212225593e-01,4.547379046334071306e-01,9.999846488979616810e-01,4.598837276263705864e-01,4.156334993835610336e-01,4.514387882268098839e-01
5.430928740681134625e-01,4.649444337714541686e-01,4.548173460247916244e-01,9.999954564891504472e-01,4.598893333410907780e-01,4.169541810426658501e-01,4.517676763155392683e-01
5.423054917198750768e-01,4.650453759610778670e-01,4.547255314179363683e-01,9.999981489868847717e-01,4.585640255498300011e-01,4.230083585792618894e-01,4.531800610300685261e-01
5.412224098605578071e-01,4.653031346479402641e-01,4.540068209711093927e-01,9.823721821524659115e-01,4.635637954118602133e-01,4.247945186976584409e-01,4.535927060638303421e-01
5.401975442704900487e-01,4.659159731891814316e-01,4.527817121475580242e-01,9.623041963606328020e-01,4.712963584505131531e-01,4.219390730554618552e-01,4.497011841884496763e-01
5.394321347300755631e-01,4.666405606152481123e-01,4.513777208180338452e-01,9.483190013564382070e-01,4.776020194341344949e-01,4.190307393944125991e-01,4.468740707684233371e-01
5.390644781045142997e-01,4.678549164585644737e-01,4.503187672515912010e-01,9.429941998938783376e-01,4.797660406510771414e-01,4.171498353239652124e-01,4.455638920483077081e-01
5.394323168275069191e-01,4.688204383606966452e-01,4.470251556151409456e-01,9.472123820886497736e-01,4.791515512834720325e-01,4.164052497143030940e-01,4.456902729478545711e-01
5.400676413763868533e-01,4.689911015685252482e-01,4.436685991652724592e-01,9.528108795879576265e-01,4.776145664399900070e-01,4.158936155950742064e-01,4.459900395423314068e-01
5.400307881136274801e-01,4.700613539047949208e-01,4.407940978372485996e-01,9.566620706395201346e-01,4.753791491573191585e-01,4.154260195218234530e-01,4.462964111964293212e-01
5.400528715583883255e-01,4.704647680936493437e-01,4.380116387213685569e-01,9.631430333198640614e-01,4.725461608732706154e-01,4.150333013972887231e-01,4.466102921544755078e-01
5.400811722079335020e-01,4.716278916177300551e-01,4.358690625766197257e-01,9.653582466818667607e-01,4.701496224798046297e-01,4.146636985542611620e-01,4.468542601596716124e-01
5.402782403797814492e-01,4.733888717286314218e-01,4.347044555939865718e-01,9.619472677860829712e-01,4.699410848354978465e-01,4.143655933726168583e-01,4.470497206749903807e-01
5.403500174875118800e-01,4.751794677104900222e-01,4.344080262122085312e-01,9.562321510496494259e-01,4.710473453337264971e-01,4.141290141581974171e-01,4.472570417485937644e-01
5.399381272743745130e-01,4.763503783169047989e-01,4.345737762419349948e-01,9.482513212026758564e-01,4.720339816796376153e-01,4.139422322305215673e-01,4.475009849524921313e-01
5.395051516573842187e-01,4.770717546176213020e-01,4.352790934505306741e-01,9.425650621450496480e-01,4.736596853869843859e-01,4.137335277762451691e-01,4.476747754709691773e-01
5.393685975114268505e-01,4.772578273669849658e-01,4.357168466564885212e-01,9.389537584295712946e-01,4.750032166728148653e-01,4.135362555018804454e-01,4.478257304862025556e-01
5.395094885718343392e-01,4.776968202990284906e-01,4.359420462355790837e-01,9.334587649340188031e-01,4.765339498353134973e-01,4.133716935915496826e-01,4.479870028341644828e-01
5.399386448363266977e-01,4.780032046388038580e-01,4.357885810217083655e-01,9.276754163313623014e-01,4.779872505395738602e-01,4.132212346115490820e-01,4.481319149227078191e-01
5.403807046648468893e-01,4.781201421030139009e-01,4.353783876233138783e-01,9.243393893020379615e-01,4.783499297420586993e-01,4.130760449695492498e-01,4.482574537976589668e-01
5.408317054800788615e-01,4.780307501933392933e-01,4.347900236807021312e-01,9.223786405378733289e-01,4.776960110450504393e-01,4.129494417590425792e-01,4.483882614943554556e-01
5.413590662144744936e-01,4.780138661013161316e-01,4.339994878595488936e-01,9.209278596823697871e-01,4.773332900177400528e-01,4.128334173356396075e-01,4.485081924745054072e-01
5.418735634057794126e-01,4.783813386308556348e-01,4.335708203359299184e-01,9.186237544728527160e-01,4.774852236199446653e-01,4.127174534546891871e-01,4.486067957720243915e-01
5.422252253565869040e-01,4.787691130935930461e-01,4.331283001054760939e-01,9.165618176544337858e-01,4.776887636138818505e-01,4.126125518774582668e-01,4.487026223363347888e-01
5.424658117868836893e-01,4.793531474513427759e-01,4.329387459221562540e-01,9.141068646379202356e-01,4.774136568296870609e-01,4.125110275612960953e-01,4.487896258778967806e-01
5.425608913751249762e-01,4.796868360089298622e-01,4.331176932918431310e-01,9.127177769842238497e-01,4.767552706055215306e-01,4.124137738093893168e-01,4.488637927961014462e-01
5.430456152165429318e-01,4.803036417231963395e-01,4.327911114350182498e-01,9.088510948063061035e-01,4.766656366566178749e-01,4.123287696720198681e-01,4.489449326374702065e-01
5.433996655732948877e-01,4.807781261849940480e-01,4.319751783914587695e-01,9.070591321052990930e-01,4.760724748724027289e-01,4.122465051361570154e-01,4.490227263189502938e-01
