arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
7.499993265530586761e-01,4.999993305804530386e-01,4.999996265542065443e-01,-7.360130277361218771e-07,5.000001669068298016e-01,5.000092770635832240e-01,4.984130028106583676e-01,9.001515262059686107e-01,7.964771714485412435e-01,5.050971666844772390e-02,9.491839199151476114e-01,1.072392115488935538e+00,2.514671369303485005e-01
7.420372750331756251e-01,4.920392936943949747e-01,4.999660474691917655e-01,3.184137007077256221e-02,5.063157299310486748e-01,5.060563358534384548e-01,4.861466685705341795e-01,9.001515262059686107e-01,8.012553016836614361e-01,5.050971666844771002e-02,9.519686862939399363e-01,1.052302678641454659e+00,2.884987030568927358e-01
7.340750674696121525e-01,4.856761948467246404e-01,4.977652713167562970e-01,6.368458126344818393e-02,5.029984258862104651e-01,5.109882075482021779e-01,4.701803992024528034e-01,9.001515262059686107e-01,8.042947206214327016e-01,5.050971666844771696e-02,9.514236276268113190e-01,1.032600998552432481e+00,3.181150913045048267e-01
7.261128346117708965e-01,4.836828866227297907e-01,4.977477259774620300e-01,9.552894452469253006e-02,4.985296372799421505e-01,5.122197566261114110e-01,4.581452870418926127e-01,9.001515262059686107e-01,8.062393398776906972e-01,5.050971666844771696e-02,9.499672431717327559e-01,1.015028330659059508e+00,3.268113415039220482e-01
7.181505920549962063e-01,4.847408846024108264e-01,4.995595011072544445e-01,1.273728978643594301e-01,4.987392725745972144e-01,5.183874141981756889e-01,4.611470317887307324e-01,9.001515262059686107e-01,8.074835067603804983e-01,5.050971666844771002e-02,9.485460598490907946e-01,9.993589951520156500e-01,3.220458288828989546e-01
7.101883523731838954e-01,4.870950254648249156e-01,4.989854634169770264e-01,1.592169450819914678e-01,5.066207760306083996e-01,5.225371019426943153e-01,4.670246984026892867e-01,9.001515262059686107e-01,8.082795244008530444e-01,5.050971666844771002e-02,9.464950024217568814e-01,9.836449283910762009e-01,3.106906062410950686e-01
7.022261061956457384e-01,4.888887669867183483e-01,4.972794945334443328e-01,1.910612016290198500e-01,5.127933316311554801e-01,5.093520409923526504e-01,4.770594616653996978e-01,9.001515262059686107e-01,8.087888162754074406e-01,5.050971666844771696e-02,9.431320039160286939e-01,9.720512977665091148e-01,3.003952546449875638e-01
6.942638768479297839e-01,4.908186269623963649e-01,4.957660023816095607e-01,2.229056343176473443e-01,5.129862939446465653e-01,4.997966010914135504e-01,4.828310732086663060e-01,9.001515262059686107e-01,8.091146610812249840e-01,5.050971666844772390e-02,9.386451146229733977e-01,9.596627237320338732e-01,2.890462109262091350e-01
6.863016546502216375e-01,4.920878880896285557e-01,4.944331168382944952e-01,2.547501800468888744e-01,5.144798210316160469e-01,4.994095947155708370e-01,4.840236381077212546e-01,9.001515262059686107e-01,8.093231365012798495e-01,5.050971666844773084e-02,9.332089720564573643e-01,9.452981978206150826e-01,2.808848502795555646e-01
6.783394382911356324e-01,4.932759503493391318e-01,4.942325057366199759e-01,2.865947082551441594e-01,5.163383825180687392e-01,4.988959544056494333e-01,4.847764328526923960e-01,9.001515262059686107e-01,8.094565190195557314e-01,5.050971666844772390e-02,9.269347279968741526e-01,9.313529412124605944e-01,2.742034920380612140e-01
6.703772358495172501e-01,4.940643638683183125e-01,4.934888262936873438e-01,3.184392128236305797e-01,5.167931053695711263e-01,4.984117964417291158e-01,4.853922938338380844e-01,9.001515262059686107e-01,8.095418571192556367e-01,5.050971666844771696e-02,9.198550337431568025e-01,9.178372269491192892e-01,2.686710272324319693e-01
