arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
6.559637850475797949e-01,5.035289139083466425e-01,5.076448743504017314e-01,3.821250230479974475e-01,5.165938426846221621e-01,4.727517814035542276e-01,4.963020695920672964e-01,8.001620753903438965e-01,8.096315104119847783e-01,5.050227878322053471e-02,9.051396863755128974e-01,9.022518172092149902e-01,2.507956394480982953e-01
6.480016270099017150e-01,5.052265635300483559e-01,5.071297040044486781e-01,4.139695204254401073e-01,5.141897857125131699e-01,4.733092437404928798e-01,4.985172994179858375e-01,8.001620753903438965e-01,8.096538165655665642e-01,5.050227878322052777e-02,8.960337783520921917e-01,8.903301309353324200e-01,2.442173067339348247e-01
6.400394894520483602e-01,5.054609882814803390e-01,5.076538140576498659e-01,4.458139533937987564e-01,5.098510093621059225e-01,4.730928346112848182e-01,4.994539838842440571e-01,8.001620753903438965e-01,8.096680880366925459e-01,5.050227878322052777e-02,8.864220334553323255e-01,8.788230706924795577e-01,2.455634938188335226e-01
6.320773726937896075e-01,5.043036538295426752e-01,5.065556357928170383e-01,4.776582587988756901e-01,5.056404659809149438e-01,4.726031727563140272e-01,5.006452354135679794e-01,8.001620753903438965e-01,8.096772189201213443e-01,5.050227878322052777e-02,8.762823237567100021e-01,8.678721786578821318e-01,2.495931863108742377e-01
6.241152778411904745e-01,5.031029897899328418e-01,5.052500193481268553e-01,5.095026923735868074e-01,5.025275656828039894e-01,4.726982198153697468e-01,5.038154886096574137e-01,8.001620753903438965e-01,8.096830608569093313e-01,5.050227878322052777e-02,8.655624581585693589e-01,8.576183717941491258e-01,2.528501166139457412e-01
6.161532073993548630e-01,5.028709461123173075e-01,5.031510639095805315e-01,5.413470598531291422e-01,4.981517409936087604e-01,4.719794184096994805e-01,5.071300862359660044e-01,8.001620753903438965e-01,8.096867985265118195e-01,5.050227878322052083e-02,8.542248080108237884e-01,8.481948546167278336e-01,2.503621678672237616e-01
6.081911629347488413e-01,5.054395724955150770e-01,5.000736634213187592e-01,5.731907486849262545e-01,4.957127675353172891e-01,4.688242051980862080e-01,5.098073123489149650e-01,8.001620753903438965e-01,8.096891898865288262e-01,5.050227878322051389e-02,8.420641511220254838e-01,8.397750877803805691e-01,2.351306988029092937e-01
6.002291424808131604e-01,5.074379216365720868e-01,4.988090356059342589e-01,6.050352602298006977e-01,4.970833618832383727e-01,4.653640004755198456e-01,5.128213481641344940e-01,8.001620753903438965e-01,8.096907198780313175e-01,5.050227878322051389e-02,8.293729164345812199e-01,8.319161249396660462e-01,2.259792101465294134e-01
5.922671489236305264e-01,5.078513557162743774e-01,4.965447512572192523e-01,6.368796840057077135e-01,4.988952585149112329e-01,4.610188676106645733e-01,5.160530947327963691e-01,8.001620753903438965e-01,8.096916987661875176e-01,5.050227878322051389e-02,8.162697898932312901e-01,8.245570193689977234e-01,2.202821346546992021e-01
5.843051810662388545e-01,5.061092638861366400e-01,4.948395038469533547e-01,6.687239270010578718e-01,4.970701850889317486e-01,4.639477276088710966e-01,5.214536084820715622e-01,8.001620753903438965e-01,8.096923250585693621e-01,5.050227878322051389e-02,8.032261008439004479e-01,8.167627741711538381e-01,2.227577033755397395e-01
5.763432409522182276e-01,5.047412452953904394e-01,4.944549962634784968e-01,7.005683743901802707e-01,4.974038368477582961e-01,4.664655230744339520e-01,5.255465429487459206e-01,8.001620753903438965e-01,8.096927257602686279e-01,5.050227878322051389e-02,7.898877091060418909e-01,8.095135161736998208e-01,2.266337543647032882e-01
