arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
7.499993265610236381e-01,4.999993306017355144e-01,4.999996265627610348e-01,-7.359865707678708493e-07,5.000001709032273478e-01,5.000080142973041264e-01,4.984140107374444573e-01,7.001721762520015657e-01,7.964866964390959758e-01,5.049463100229050622e-02,9.491837670579850172e-01,1.072390007877011886e+00,2.514736713091707543e-01
7.474369698778016158e-01,4.963991113159222368e-01,4.956754181179887087e-01,1.559630786334166054e-02,5.028015583167807501e-01,4.976950821946438674e-01,4.950022250796943801e-01,7.001721762520015657e-01,8.012614005422040719e-01,5.049463100229050622e-02,9.527342803451090969e-01,1.068547944562799223e+00,2.681516113919807376e-01
7.447130532934439495e-01,4.944452516563602740e-01,4.954200053387379787e-01,3.108582451527761026e-02,5.045180535981130809e-01,4.997676068736234822e-01,4.954495643278957751e-01,7.001721762520015657e-01,8.042986226695517660e-01,5.049463100229050622e-02,9.548262497780279912e-01,1.064600631259552177e+00,2.771021837973412505e-01
7.367509255871941276e-01,4.875986864001174426e-01,4.998518756647944428e-01,6.292727767424065310e-02,5.039819975011132769e-01,5.015056976093330565e-01,4.878766871361316926e-01,7.001721762520015657e-01,8.062418364070389476e-01,5.049463100229050622e-02,9.539144086226212238e-01,1.047880631665681461e+00,3.092508718744567120e-01
7.287886799734001331e-01,4.796376653817889246e-01,5.040527161569220427e-01,9.477040129677777314e-02,5.025334726979615585e-01,5.061067886790134862e-01,4.784125570561115759e-01,7.001721762520015657e-01,8.074851040391931578e-01,5.049463100229049928e-02,9.499741293806680531e-01,1.030447370437316934e+00,3.476380150167091565e-01
7.208264303059946920e-01,4.722313089319992163e-01,5.104845393127078745e-01,1.266141361784862696e-01,4.987529009821261017e-01,5.101719013759362653e-01,4.762313968210916681e-01,7.001721762520015657e-01,8.082805463394124867e-01,5.049463100229050622e-02,9.428861565026551705e-01,1.015704365134382448e+00,3.849386878448789462e-01
7.128641975965892552e-01,4.696507833767547546e-01,5.148387330517307792e-01,1.584594591214974757e-01,4.991760425486738151e-01,5.108523790353417526e-01,4.744783909794040855e-01,7.001721762520015657e-01,8.087894701114258789e-01,5.049463100229049928e-02,9.369650301597611808e-01,1.001425087537049397e+00,4.002859356862974449e-01
7.049019674274333846e-01,4.679348091265640441e-01,5.163256694847462303e-01,1.903042315050087752e-01,5.025796029053074543e-01,5.124789763875595705e-01,4.769762997037061969e-01,7.001721762520015657e-01,8.091150794053355577e-01,5.049463100229049928e-02,9.312222358506170306e-01,9.875082882712090671e-01,4.101678433360945730e-01
6.969397462736846016e-01,4.669043543532767626e-01,5.158864261931453976e-01,2.221487075796067523e-01,5.057295730536659484e-01,5.100530798630786844e-01,4.743497414123133415e-01,7.001721762520015657e-01,8.093234041449345328e-01,5.049463100229049928e-02,9.255360317859364638e-01,9.739101809321301095e-01,4.152009056691828293e-01
6.889775357972436343e-01,4.658073278903239189e-01,5.133349296261346950e-01,2.539927668920246573e-01,5.086564603446999122e-01,5.061437910198550716e-01,4.698855404380413159e-01,7.001721762520015657e-01,8.094566902578947953e-01,5.049463100229049928e-02,9.195823513242578073e-01,9.606787225496400406e-01,4.178323147900984136e-01
6.810153362607430649e-01,4.653794540798943391e-01,5.108466038922643282e-01,2.858372704401143105e-01,5.099657525897223209e-01,5.033023398666583992e-01,4.669414310455201056e-01,7.001721762520015657e-01,8.095419666774993361e-01,5.049463100229049928e-02,9.137402366710303259e-01,9.476077273923699806e-01,4.165453777796091495e-01
6.730531483117889735e-01,4.654242792060666045e-01,5.095584840005397131e-01,3.176820167901684422e-01,5.094887953940709924e-01,5.017350315750949141e-01,4.659639746454565246e-01,7.001721762520015657e-01,8.095965265080703466e-01,5.049463100229049928e-02,9.075271235848055840e-01,9.347979631099619935e-01,4.137789094974656523e-01
6.650909738664682047e-01,4.655330447135878069e-01,5.091570984746921491e-01,3.495267186891449773e-01,5.057278087144316814e-01,4.993104506662623954e-01,4.662345423214185880e-01,7.001721762520015657e-01,8.096314338731512850e-01,5.049463100229049234e-02,9.005486027933243820e-01,9.228186086915000086e-01,4.113704321709563128e-01
6.571288146458071910e-01,4.657379582728987666e-01,5.104980701962108514e-01,3.813713038064598382e-01,5.026009706354699347e-01,4.946226710815690431e-01,4.663228480450490321e-01,7.001721762520015657e-01,8.096537675960412406e-01,5.049463100229049234e-02,8.924909851895758139e-01,9.117110689839091897e-01,4.108684772455572509e-01
6.491666776880993250e-01,4.652750966718487979e-01,5.084815259365614848e-01,4.132153077797073859e-01,4.992077826983188915e-01,4.883368644914036216e-01,4.642661355929039169e-01,7.001721762520015657e-01,8.096680567060032807e-01,5.049463100229049234e-02,8.842580940328025330e-01,9.005394773920214480e-01,4.080370259089641238e-01
6.412045571655662357e-01,4.659545225050423234e-01,5.057581322093143150e-01,4.450595189138975005e-01,4.932154318401880122e-01,4.817479297063592680e-01,4.684218911968556220e-01,7.001721762520015657e-01,8.096771988747546445e-01,5.049463100229048540e-02,8.764998483072028446e-01,8.896844892450371800e-01,3.989249013315320780e-01
6.332424529790873224e-01,4.661400021021374629e-01,5.046403372666465881e-01,4.769042926996837073e-01,4.889970804097893420e-01,4.758978970037497924e-01,4.737714249190255189e-01,7.001721762520015657e-01,8.096830480318890633e-01,5.049463100229047846e-02,8.673524334543575298e-01,8.796631216783169505e-01,3.939506584306641246e-01
6.252803688988229913e-01,4.649842987780923309e-01,5.039432468124021014e-01,5.087488793267053167e-01,4.880200562936267139e-01,4.708477803124974659e-01,4.801008803841428363e-01,7.001721762520015657e-01,8.096867903210671624e-01,5.049463100229047846e-02,8.567620033987456418e-01,8.708727467100051411e-01,3.944008579362323075e-01
