arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
7.499993265530584541e-01,4.999993305804544264e-01,4.999996265542052121e-01,-7.360130424448090898e-07,5.000001669064244592e-01,5.000092770596915592e-01,4.984130028143025637e-01,9.001665063803022671e-01,7.965445120658114497e-01,2.505319704382246160e-01,9.491839199150422512e-01,1.072392115508806754e+00,2.514671369407172619e-01,-1.549654617270150561e-09,5.551492198538300828e-09,3.807152960711530405e-09,3.362920101039865039e-08,3.205476107357343044e-09,1.372629155607010553e-08,5.002547878500296363e-01,2.035678951181203391e-09,5.342638969843295422e-08
7.420372784535188559e-01,4.970939089278066936e-01,4.993427418481462543e-01,3.184316321712580417e-02,5.079611640898640257e-01,5.056738047502777889e-01,5.041683450093804586e-01,9.001665063803022671e-01,8.012984199310277944e-01,2.505319704382246160e-01,9.521700854637129563e-01,1.054932202693235732e+00,2.649633302499865839e-01,8.669042038601812786e-03,1.910638896939154813e-02,2.436806848782523127e-02,1.258489071602727926e-08,2.083153897550386879e-02,3.648470065642547139e-02,5.000637233984283059e-01,1.029331126030432614e-02,1.984617190569344380e-01
7.340750647862914757e-01,4.963125181360646399e-01,5.019320367156238083e-01,6.368692384149213237e-02,5.159227640362630263e-01,5.152182827855709135e-01,5.024971423748079147e-01,9.001665063803022671e-01,8.043223076649518299e-01,2.505319704382246160e-01,9.534714984194361254e-01,1.036683044680812404e+00,2.688556875354340403e-01,1.266995600914154821e-02,2.405681538623343982e-02,3.184203208778976779e-02,7.455377013343171703e-09,3.414935458412898805e-02,1.904320513736368695e-02,5.000159348751795907e-01,2.367898084023470004e-02,2.782865125833668407e-01
7.261128301204843316e-01,4.967360309957200015e-01,5.051965513834424382e-01,9.553092073982967503e-02,5.230474750259662686e-01,5.223487971778963956e-01,4.971289803865235890e-01,9.001665063803022671e-01,8.062569900607933215e-01,2.505319704382246160e-01,9.531057107368802184e-01,1.018583463634991970e+00,2.684583162951499902e-01,1.401524752513188393e-02,2.460421048140678385e-02,3.215771789044936935e-02,6.469349618340158043e-09,4.437998685374074798e-02,4.761409819889314728e-03,5.000039851529485269e-01,2.104498177693944760e-02,2.634091298401878833e-01
7.181505800517972160e-01,4.948813244438980963e-01,5.100974143578003162e-01,1.273743464370926393e-01,5.245257153857145749e-01,5.289000398516704449e-01,4.963136358374688473e-01,9.001665063803022671e-01,8.074947993428328585e-01,2.505319704382246160e-01,9.511697869002757599e-01,1.002453199251675864e+00,2.797151623468731585e-01,1.443771942160773820e-02,2.413703962620234941e-02,3.111498488938034546e-02,6.439747519789972570e-09,4.728246743195851920e-02,1.190317498194921712e-03,5.000009975720504096e-01,1.762574849901897556e-02,2.372587357347457904e-01
7.101883335378021966e-01,4.908574939654925529e-01,5.119842771504307111e-01,1.592182569505427581e-01,5.242264740072077878e-01,5.358571263424297682e-01,4.963952160508020572e-01,9.001665063803022671e-01,8.082867493921012114e-01,2.505319704382246160e-01,9.475208411863110802e-01,9.870882581913014153e-01,2.999593555645710952e-01,1.437083921732812061e-02,2.324390724669656363e-02,2.947415679372056632e-02,6.212199761376479285e-09,4.731814816605051793e-02,2.976926495843038901e-04,5.000002506802027069e-01,1.539071414646784632e-02,2.231296620767235783e-01
7.022260918054507028e-01,4.871249358317374378e-01,5.144115645310205487e-01,1.910626209388771035e-01,5.240211207635284696e-01,5.426106601386505579e-01,4.983701913985917886e-01,9.001665063803022671e-01,8.087934388228854576e-01,2.505319704382246160e-01,9.423598179943650788e-01,9.723622078815745695e-01,3.195981552449475016e-01,1.400907114691309942e-02,2.224425967786909999e-02,2.785626408073982666e-02,6.059391328802331840e-09,4.646445070146777018e-02,7.454824601148275613e-05,5.000000640059566459e-01,1.391181185326619170e-02,2.130414567817363047e-01
6.942638584603773033e-01,4.842346612705978881e-01,5.170464305903169633e-01,2.229072222797248426e-01,5.235029679617894116e-01,5.491052715127502371e-01,5.000962242096810284e-01,9.001665063803022671e-01,8.091176185858713898e-01,2.505319704382246160e-01,9.361223161482105093e-01,9.582133970752109153e-01,3.358297563690746390e-01,1.383235874791696914e-02,2.147675296739566184e-02,2.676165931656283165e-02,5.990992708701225196e-09,4.556091031361498428e-02,1.875651083415495624e-05,5.000000173541097048e-01,1.285196350277423294e-02,2.046534314988101011e-01
6.863016365331490176e-01,4.822314223596079752e-01,5.188603385853112204e-01,2.547519698982689262e-01,5.237884142905061546e-01,5.507173636021883700e-01,5.006666900336785853e-01,9.001665063803022671e-01,8.093250287119656550e-01,2.505319704382246160e-01,9.291740811842127412e-01,9.444916223783347275e-01,3.480082858429831005e-01,1.370191675330315224e-02,2.076729199852133875e-02,2.547441581212797276e-02,5.946701915446039051e-09,4.481743740238353785e-02,4.803785784676281862e-06,5.000000056880963273e-01,1.235695592444557497e-02,1.984157502682789287e-01
6.783394273769866034e-01,4.820952317411011934e-01,5.223841323953142268e-01,2.865962678415767129e-01,5.232506411654282985e-01,5.520541211158137562e-01,4.993735103125838681e-01,9.001665063803022671e-01,8.094577296554490431e-01,2.505319704382246160e-01,9.220295344629800827e-01,9.308755171416210894e-01,3.537329338524222710e-01,1.366930438839012406e-02,2.015860462203724474e-02,2.498005081262774305e-02,5.913039953339404304e-09,4.411398344648299191e-02,1.311181660029833565e-06,5.000000027917204104e-01,1.177313013301528252e-02,1.937508186716812297e-01
6.703772319560085124e-01,4.823090689980630286e-01,5.270439032784441924e-01,3.184403022226124369e-01,5.230167007435011506e-01,5.533526818161614846e-01,4.996415252536250406e-01,9.001665063803022671e-01,8.095426316837780467e-01,2.505319704382246160e-01,9.140067271045368980e-01,9.174207626483904532e-01,3.602251675596957470e-01,1.366115193675679351e-02,1.974763986544538288e-02,2.468391545223482669e-02,5.797092701539651456e-09,4.342053932344059480e-02,4.338182024813370524e-07,5.000000020438314374e-01,1.093707003490274748e-02,1.905142475656394219e-01
6.624150528921312064e-01,4.821830878002958953e-01,5.307395662467251363e-01,3.502848230048987710e-01,5.239470428770188759e-01,5.540483666576782040e-01,4.993433163264568431e-01,9.001665063803022671e-01,8.095969519789105728e-01,2.505319704382246160e-01,9.050277167576072923e-01,9.042832236362691178e-01,3.678862164505657395e-01,1.365911341562567674e-02,1.964489308497395156e-02,2.460987057434746092e-02,5.771443885135551239e-09,4.324716806081663895e-02,2.101048455255882927e-07,5.000000018598079743e-01,1.072804250898819721e-02,1.897050682434634206e-01
6.544528892652194951e-01,4.815752957465634365e-01,5.337875059088010854e-01,3.821294056633994241e-01,5.246719883892921876e-01,5.526627901215037664e-01,5.026090099729170202e-01,9.001665063803022671e-01,8.096317060892816997e-01,2.505319704382246160e-01,8.950417758776646471e-01,8.925667772120928767e-01,3.772045441677449595e-01,1.374486590460190574e-02,1.910163409591427580e-02,2.398752388275344691e-02,5.911368401553528669e-09,4.165110885561396775e-02,1.503307872291228816e-07,5.000000018342725117e-01,9.985687307953282701e-03,1.846720614137243310e-01
6.464907463757751938e-01,4.805213608313808060e-01,5.374278068150479815e-01,4.139738470531817982e-01,5.250682829121657846e-01,5.512739108075914718e-01,5.065550110477378132e-01,9.001665063803022671e-01,8.096539417598490607e-01,2.505319704382246160e-01,8.837244984182931473e-01,8.816259784563246216e-01,3.895958259280232205e-01,1.368004358678034764e-02,1.879329022019135542e-02,2.365940351453636042e-02,5.720492641911033855e-09,4.073450549289803907e-02,1.313765438146785211e-07,5.000000018159782567e-01,9.340029611796290404e-03,1.816885263162309472e-01
6.385286254710987874e-01,4.800554080657834510e-01,5.392505958675732902e-01,4.458186692377233418e-01,5.257038612744447947e-01,5.489092688360776018e-01,5.086005464350610294e-01,9.001665063803022671e-01,8.096681681359612082e-01,2.505319704382246160e-01,8.724965334719947396e-01,8.711122852800238237e-01,3.969298679174786404e-01,1.375009824401324417e-02,1.862993338215878161e-02,2.349109965320458210e-02,5.634714146493235161e-09,4.016028099615166075e-02,1.233855901776072834e-07,5.000000018212166220e-01,8.718532533375716181e-03,1.795623895256666658e-01
6.313204107356238381e-01,4.810145349498224920e-01,5.403401594283419040e-01,4.776635719822595605e-01,5.257864678740421516e-01,5.475832718670865518e-01,5.084569488235800572e-01,9.001665063803022671e-01,8.096772701676121509e-01,2.505319704382246160e-01,8.628710979749392163e-01,8.630545414029918705e-01,3.973948264920099671e-01,1.385387692812910763e-02,1.841656520073096936e-02,2.327649566742635498e-02,6.680415449819276103e-09,3.949913759354940074e-02,1.195163785789494193e-07,5.000000019753048086e-01,8.333115020812220317e-03,1.783407111718519067e-01
6.245110479709158335e-01,4.823510133478188244e-01,5.434463833847590353e-01,5.095081779920307419e-01,5.236237548493343219e-01,5.468094826518818952e-01,5.081924097916444838e-01,9.001665063803022671e-01,8.096830936450403193e-01,2.505319704382246160e-01,8.526074784375825555e-01,8.565884802204246640e-01,4.003249947514334606e-01,1.422486838911803629e-02,1.836322413209582477e-02,2.322284640798310054e-02,7.071850778414256195e-09,3.898880941449012899e-02,1.164964813726859711e-07,5.000000020172901127e-01,7.776701370077583608e-03,1.770001615994014621e-01
6.170279672678713467e-01,4.857883631325203289e-01,5.439326283149227281e-01,5.413523607512996660e-01,5.244232106094505186e-01,5.445324775470595791e-01,5.058669643263936644e-01,9.001665063803022671e-01,8.096868195043492866e-01,2.505319704382246160e-01,8.431593094828340185e-01,8.467148516464747532e-01,3.908523947703691492e-01,1.515869137174528404e-02,1.826362213254301842e-02,2.320943015655136527e-02,6.026939065703328664e-09,3.851616006998504621e-02,1.132968479143315012e-07,5.000000018452437356e-01,7.637584181546530626e-03,1.763199343340989267e-01
6.096208846857934516e-01,4.917402064084641644e-01,5.434014042131842803e-01,5.731952752759738035e-01,5.249614985102213360e-01,5.439134119084078067e-01,5.057332218440672156e-01,9.001665063803022671e-01,8.096892033081437567e-01,2.505319704382246160e-01,8.348752797370225798e-01,8.363063533329518906e-01,3.706092444037234479e-01,1.539214680688719833e-02,1.823872179587913978e-02,2.320607613752914689e-02,6.456085561820356373e-09,3.839799921598286564e-02,1.117100881791938838e-07,5.000000019097037285e-01,7.602804929038219084e-03,1.761498704918365854e-01
6.037999283159268815e-01,4.974202685957271330e-01,5.442041560315182824e-01,6.050392478558406228e-01,5.269752980149067234e-01,5.436371632490316630e-01,5.059011043110438477e-01,9.001665063803022671e-01,8.096907284651770897e-01,2.505319704382246160e-01,8.272739273812055316e-01,8.324352431840161826e-01,3.549770185204307316e-01,1.545051742197306455e-02,1.823249649833385763e-02,2.320523796566174857e-02,8.298113425394814397e-09,3.836845671512967987e-02,1.099686600912061861e-07,5.000000021669793737e-01,7.594109291719761991e-03,1.761073407164686078e-01
5.994966190565541586e-01,5.018655356409279511e-01,5.448321570276762893e-01,6.368845164609210352e-01,5.264502714910070935e-01,5.434915045160204627e-01,5.061679144146391529e-01,9.001665063803022671e-01,8.096917042602411740e-01,2.505319704382246160e-01,8.208684256311173932e-01,8.357620776371678106e-01,3.443082073251571562e-01,1.546511027076584444e-02,1.823093878954473376e-02,2.320502724927576976e-02,7.911983186500703153e-09,3.836107041323778138e-02,1.073744339368009976e-07,5.000000021050189369e-01,7.591935369021285927e-03,1.760967024722886465e-01
