arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
7.499993265530657816e-01,4.999993305804434907e-01,4.999996265542078211e-01,-7.360130232103720063e-07,5.000001669068148136e-01,5.000092770635120587e-01,4.984130028107732202e-01,9.001588020258937117e-01,7.964775835122578362e-01,1.505207622870402551e-01,9.491839199151402839e-01,1.072392115489179343e+00,2.514671369302011739e-01,-1.549651231322984626e-09,5.551053491150876458e-09,3.807767782573413489e-09,3.362919842215366361e-08,3.205092101748201547e-09,1.372393873110441598e-08,5.002547878500709366e-01,2.035594765553439693e-09,5.342480461522110020e-08
7.420372691629513184e-01,4.936381930463046852e-01,4.958181157483297352e-01,3.184077708063756673e-02,5.011297971053565448e-01,4.904826939021922905e-01,5.102229313075160588e-01,9.001588020258937117e-01,8.012555655283659650e-01,1.505207622870402273e-01,9.517335411372465082e-01,1.058221508382340303e+00,2.807221018358511122e-01,1.996832149521393304e-02,1.841567347142392119e-02,1.867444744853093141e-02,1.229837420408490789e-08,1.479282975330024896e-02,2.303086964173780768e-02,5.000637208819551649e-01,1.167237459620689734e-02,1.822284658341080943e-01
7.340750605527823769e-01,4.881737868208838038e-01,4.990714103869802742e-01,6.368301427681537230e-02,5.029285717826790236e-01,4.816587841741150622e-01,5.019615377836459391e-01,9.001588020258937117e-01,8.042948894292064610e-01,1.505207622870402273e-01,9.516877724976258168e-01,1.041438688780715660e+00,3.067204975833826563e-01,2.496157493546498699e-02,2.267566234755396051e-02,2.256783784783183283e-02,6.848981267188960828e-09,1.987217403371190766e-02,2.878956793555099286e-02,5.000159300136803875e-01,1.482207633324798823e-02,2.293724368452053075e-01
7.261128286532864129e-01,4.862727192744255578e-01,5.025681663888134088e-01,9.552715119693097612e-02,5.010374947077742558e-01,4.806244290644680617e-01,5.005783794148738197e-01,9.001588020258937117e-01,8.062394478808594389e-01,1.505207622870402273e-01,9.504261575261636619e-01,1.025534212772167608e+00,3.169859752129066122e-01,2.577904585048465883e-02,2.330977474138816452e-02,2.259272621439271933e-02,6.243218504506086459e-09,2.148745627483082676e-02,2.781438063758681981e-02,5.000039837483496452e-01,1.629994014579650569e-02,2.411698715219787459e-01
7.181505866801637383e-01,4.866294585952143370e-01,5.085714719328465749e-01,1.273703883203881615e-01,5.020023109838802622e-01,4.822203175871960790e-01,5.028255075922979378e-01,9.001588020258937117e-01,8.074835758607791236e-01,1.505207622870402551e-01,9.484765990995720486e-01,1.010094373324647909e+00,3.187866349393048138e-01,2.563845512260546147e-02,2.329585771650312040e-02,2.190891265532299292e-02,5.933872178173470742e-09,2.240895053878228654e-02,2.791565628804996632e-02,5.000009973031376287e-01,1.689953276082454409e-02,2.451556022186839323e-01
7.101883447377165259e-01,4.865964857148186162e-01,5.117453457717181520e-01,1.592149738018944771e-01,5.020859336500186343e-01,4.811378224938620551e-01,5.018240902153591199e-01,9.001588020258937117e-01,8.082795686112698164e-01,1.505207622870402273e-01,9.452431452257258337e-01,9.949602535617653176e-01,3.220716590264618984e-01,2.551703821514665280e-02,2.303359353247010424e-02,2.147916081396673144e-02,5.813674104457033094e-09,2.591733005481612617e-02,2.034997575739880965e-02,5.000002506406325820e-01,2.049994117964549362e-02,2.478773198868525762e-01
7.022261077577126587e-01,4.859932403833758241e-01,5.119815232418333251e-01,1.910593540816221958e-01,5.083385197109900888e-01,4.865543888972271303e-01,5.002998915132323976e-01,9.001588020258937117e-01,8.087888445612203547e-01,1.505207622870402273e-01,9.411102965753430638e-01,9.786763408131744502e-01,3.260433669158990799e-01,2.876456258947959754e-02,2.201917686998225432e-02,2.119921816048492627e-02,5.818924127095880534e-09,2.920963480968470291e-02,5.088950879893392593e-03,5.000000639764973220e-01,3.313116819560889270e-02,2.351015206532013346e-01
6.942638730385090051e-01,4.859222734846748715e-01,5.113146148408372893e-01,2.229037608592363273e-01,5.154143190970543742e-01,4.878973895889174295e-01,4.998785257122219106e-01,9.001588020258937117e-01,8.091146791784805670e-01,1.505207622870402273e-01,9.362644164120297319e-01,9.636187861243353803e-01,3.266433107614492570e-01,2.957669710437433458e-02,2.176548511746701636e-02,2.112920318083778143e-02,6.284974436551448447e-09,3.003300548754953003e-02,1.271596088944449299e-03,5.000000173575078755e-01,3.629012171420771538e-02,2.319063600380270873e-01
6.863016483095260023e-01,4.873134907777482150e-01,5.121023583031363291e-01,2.547480725007175151e-01,5.229750884302845071e-01,4.918634807206040405e-01,5.015121471215512328e-01,9.001588020258937117e-01,8.093231480798991351e-01,1.505207622870402273e-01,9.310962459980232087e-01,9.485540228389770512e-01,3.219324251851465868e-01,1.867371148773585426e-02,1.618142948796156763e-02,1.492254210396155682e-02,6.226393740701706987e-09,2.368300274591519927e-02,3.174090392026249750e-04,5.000000056372695401e-01,1.591783588569758989e-02,1.376348908738702359e-01
6.783394347129612090e-01,4.885068762926771391e-01,5.139214756413729157e-01,2.865923721627720577e-01,5.295527069712354651e-01,4.904473705139641426e-01,4.982688912503746015e-01,9.001588020258937117e-01,8.094565264275532801e-01,1.505207622870402273e-01,9.248425353768222612e-01,9.341574059337767189e-01,3.195488505782853039e-01,1.094390315312942542e-02,1.029944520658894122e-02,9.402405677511134832e-03,6.188012886651205475e-09,1.053612223042724172e-02,7.927388904472971944e-05,5.000000026920013996e-01,3.979169615283749580e-03,9.022295744488864622e-02
