arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
6.810153362607430649e-01,4.653794540798943391e-01,5.108466038922643282e-01,2.858372704401143105e-01,5.099657525897223209e-01,5.033023398666583992e-01,4.669414310455201056e-01,7.001721762520015657e-01,8.095419666774993361e-01,5.049463100229049928e-02,9.137402366710303259e-01,9.476077273923699806e-01,4.165453777796091495e-01,2.849856037882659253e-03,4.293137739013476971e-03,7.783001602887383574e-03,5.981951052388677921e-09,1.359331797534216180e-02,5.087163642887934722e-08,5.000000021504543701e-01,5.659640044123343395e-05,9.638610345599732399e-02
6.730531483117889735e-01,4.654242792060666045e-01,5.095584840005397131e-01,3.176820167901684422e-01,5.094887953940709924e-01,5.017350315750949141e-01,4.659639746454565246e-01,7.001721762520015657e-01,8.095965265080703466e-01,5.049463100229049928e-02,9.075271235848055840e-01,9.347979631099619935e-01,4.137789094974656523e-01,3.106288204187980344e-03,4.502271820750398598e-03,8.048913180912208379e-03,5.952537247663468873e-09,1.370683234936075946e-02,5.444030894559809698e-08,5.000000019668684459e-01,1.412431222279437555e-05,9.750701635640619813e-02
6.650909738664682047e-01,4.655330447135878069e-01,5.091570984746921491e-01,3.495267186891449773e-01,5.057278087144316814e-01,4.993104506662623954e-01,4.662345423214185880e-01,7.001721762520015657e-01,8.096314338731512850e-01,5.049463100229049234e-02,9.005486027933243820e-01,9.228186086915000086e-01,4.113704321709563128e-01,4.033027547877320561e-03,5.244660542338441464e-03,9.236812574437648984e-03,5.853089686366485251e-09,1.477038244642904681e-02,5.798017104759775779e-08,5.000000018941787028e-01,3.529862255523451808e-06,9.847738376083070566e-02
6.571288146458071910e-01,4.657379582728987666e-01,5.104980701962108514e-01,3.813713038064598382e-01,5.026009706354699347e-01,4.946226710815690431e-01,4.663228480450490321e-01,7.001721762520015657e-01,8.096537675960412406e-01,5.049463100229049234e-02,8.924909851895758139e-01,9.117110689839091897e-01,4.108684772455572509e-01,4.437247061368722670e-03,5.602790468740550568e-03,9.447536426464718876e-03,5.716045532563595328e-09,1.451870295808212370e-02,6.070675993776947388e-08,5.000000018350214681e-01,8.841779097209265286e-07,9.837493052373265379e-02
6.491666776880993250e-01,4.652750966718487979e-01,5.084815259365614848e-01,4.132153077797073859e-01,4.992077826983188915e-01,4.883368644914036216e-01,4.642661355929039169e-01,7.001721762520015657e-01,8.096680567060032807e-01,5.049463100229049234e-02,8.842580940328025330e-01,9.005394773920214480e-01,4.080370259089641238e-01,4.624565686395304062e-03,5.778587090010333348e-03,9.413951988524084033e-03,5.605997561827490712e-09,1.393819374287543107e-02,6.285656846772860196e-08,5.000000018142681801e-01,2.228475578010860611e-07,9.627900920631010662e-02
6.412045571655662357e-01,4.659545225050423234e-01,5.057581322093143150e-01,4.450595189138975005e-01,4.932154318401880122e-01,4.817479297063592680e-01,4.684218911968556220e-01,7.001721762520015657e-01,8.096771988747546445e-01,5.049463100229048540e-02,8.764998483072028446e-01,8.896844892450371800e-01,3.989249013315320780e-01,4.843919977020732029e-03,5.995061287980858224e-03,9.319297174354633853e-03,5.593776226772416988e-09,1.327549657515038513e-02,6.554003456830935186e-08,5.000000018257600987e-01,5.736983717481878044e-08,9.299467269227403021e-02
6.332424529790873224e-01,4.661400021021374629e-01,5.046403372666465881e-01,4.769042926996837073e-01,4.889970804097893420e-01,4.758978970037497924e-01,4.737714249190255189e-01,7.001721762520015657e-01,8.096830480318890633e-01,5.049463100229047846e-02,8.673524334543575298e-01,8.796631216783169505e-01,3.939506584306641246e-01,4.467450942562774772e-03,6.394235378650994957e-03,9.123109022977382923e-03,5.396090803186081315e-09,1.293728027333642012e-02,6.720519940198872678e-08,5.000000017886854220e-01,1.596787689158639849e-08,8.975813964744326634e-02
6.252803688988229913e-01,4.649842987780923309e-01,5.039432468124021014e-01,5.087488793267053167e-01,4.880200562936267139e-01,4.708477803124974659e-01,4.801008803841428363e-01,7.001721762520015657e-01,8.096867903210671624e-01,5.049463100229047846e-02,8.567620033987456418e-01,8.708727467100051411e-01,3.944008579362323075e-01,4.200800021613257385e-03,6.407768869469758662e-03,8.987798341571293786e-03,5.513790431007902510e-09,1.302525322222547466e-02,6.823124247412975117e-08,5.000000018036419025e-01,5.914385838066080640e-09,8.860392938477991420e-02
6.173183122479194429e-01,4.638481998652023708e-01,5.016645092221366786e-01,5.405931292354071438e-01,4.909129377788644111e-01,4.650994340941208005e-01,4.843293580126068476e-01,7.001721762520015657e-01,8.096891846366875978e-01,5.049463100229047846e-02,8.461292950381673617e-01,8.612694517801414706e-01,3.917421730177954031e-01,3.702833187801377306e-03,5.031001246033798592e-03,8.436411555406780893e-03,5.491488270889232366e-09,1.304724823283719311e-02,6.939778446644297288e-08,5.000000018385765133e-01,3.758251608913330616e-09,9.625123068610204335e-02
6.093562741230029722e-01,4.634112168362232720e-01,5.012114370369010752e-01,5.724379211407144563e-01,4.979235877785250786e-01,4.598376777268764481e-01,4.892109381709278670e-01,7.001721762520015657e-01,8.096907165191844502e-01,5.049463100229047846e-02,8.349940693341859621e-01,8.524408436391978094e-01,3.889532377064449653e-01,3.233272509339277928e-03,4.255414679550924978e-03,8.126008170115455245e-03,5.913799345888247911e-09,1.305274720547385664e-02,7.094312759145752353e-08,5.000000018723371742e-01,3.099362258485708653e-09,9.747354822205366032e-02
