arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
7.499993265530545683e-01,4.999993305804590338e-01,4.999996265542034912e-01,-7.360130249075281946e-07,5.000001669068303567e-01,5.000092770636811457e-01,4.984130028105941967e-01,7.001801417639691438e-01,7.965188396305270535e-01,1.505045112272712093e-01,9.491839199126450577e-01,1.072392115492359688e+00,2.514671369207844842e-01,-1.549653572543690089e-09,5.550449579733934656e-09,3.807532961660467405e-09,3.362921695905184910e-08,3.205547378140845266e-09,1.372364666208371415e-08,5.002547878500887002e-01,2.035522206130112162e-09,5.342445186856718232e-08
7.420372703981763518e-01,4.946296943237983856e-01,5.079602349847138765e-01,3.183994678835978115e-02,5.079610623021216798e-01,4.993923967787659013e-01,4.977412234837322869e-01,7.001801417639691438e-01,8.012819818516047077e-01,1.505045112272712093e-01,9.520061178551509906e-01,1.055469294956263404e+00,2.772600079970891640e-01,1.789891237322843286e-03,5.930407317537184433e-03,6.426412266302740546e-03,1.241407709197061498e-08,1.324116369575621677e-02,1.991794189086267816e-08,5.000637042176767633e-01,3.852864111003194165e-03,1.650622873855048800e-01
7.340750606732803218e-01,4.933359038769920546e-01,5.130070230594272473e-01,6.368372732240754064e-02,5.159226412492483593e-01,4.980210778582341291e-01,4.952589679209696283e-01,7.001801417639691438e-01,8.043117905859861194e-01,1.505045112272711816e-01,9.529008801190855804e-01,1.038184292836416001e+00,2.861435746836762939e-01,2.582489364758300699e-03,7.758257595439395880e-03,8.809584604826529650e-03,7.383371462121306958e-09,1.793191550328840714e-02,2.518513263631278828e-08,5.000159282433922492e-01,9.876968698611541739e-03,2.264638374233897966e-01
7.261128285222151479e-01,4.935307686657915416e-01,5.119690698451950794e-01,9.552733220563247585e-02,5.222860948052086005e-01,5.016084778329820137e-01,4.978117121574852644e-01,7.001801417639691438e-01,8.062502612364697008e-01,1.505045112272711816e-01,9.524581355902077551e-01,1.021261785213764206e+00,2.868084781088189317e-01,3.298219053114702544e-03,8.819088716524318278e-03,8.650681333411269422e-03,6.445510909555406682e-09,2.117495142447855735e-02,7.159404595799181113e-03,5.000039847587883779e-01,2.173420278907035874e-02,2.307834199692026522e-01
7.181505841121171851e-01,4.932667055067446182e-01,5.118085674186904077e-01,1.273717414939739001e-01,5.219389977506209144e-01,5.073352542050677538e-01,4.979648428563621665e-01,7.001801417639691438e-01,8.074904942428211552e-01,1.505045112272711816e-01,9.506329439199749931e-01,1.004685966269563080e+00,2.894414339986376428e-01,3.735960884075799088e-03,9.515627345270876586e-03,8.265848836301622690e-03,6.342713139259314188e-09,2.353851114766070118e-02,1.789899906397716392e-03,5.000009975673613827e-01,2.837959244684582980e-02,2.215109061552558156e-01
7.101883371906626552e-01,4.913389537351960934e-01,5.109579514043144366e-01,1.592159706560795085e-01,5.196743611922000072e-01,5.136246611618219271e-01,4.949657186185111857e-01,7.001801417639691438e-01,8.082839949902593801e-01,1.505045112272711816e-01,9.473228172024602545e-01,9.887087707506004852e-01,2.988709302233874543e-01,5.225604184690953516e-03,1.106996863681671689e-02,9.463568973870626830e-03,6.536088232974845153e-09,2.965024813102012241e-02,4.475623324560731777e-04,5.000002507543223063e-01,3.211133876512378693e-02,2.105664406254326715e-01
7.022260927038098677e-01,4.876068465801026708e-01,5.114452074652836577e-01,1.910599801377690921e-01,5.164332445386261572e-01,5.176685939831726646e-01,4.950798843520521353e-01,7.001801417639691438e-01,8.087916765573200939e-01,1.505045112272711816e-01,9.423342250954380717e-01,9.739667426924302207e-01,3.171926459042934687e-01,6.978201017738400874e-03,1.214864778391911912e-02,1.053935567644326103e-02,6.365655676018588123e-09,3.359351980416761668e-02,1.119934325123687034e-04,5.000000640360587889e-01,3.465448789812230340e-02,1.995491964117901973e-01
6.942638583900925253e-01,4.822004668485366241e-01,5.107822149898398889e-01,2.229036482194474145e-01,5.108352604803438890e-01,5.185033952088793363e-01,4.942263450965061478e-01,7.001801417639691438e-01,8.091164910888316575e-01,1.505045112272711816e-01,9.353781656462795135e-01,9.603939050536175470e-01,3.418115386572608827e-01,7.330123374767199933e-03,1.224582002036598595e-02,1.063580528816025945e-02,6.078352161706090113e-09,3.492443275946716802e-02,2.810197294261369648e-05,5.000000173537404446e-01,3.391019479746145565e-02,1.888586475453774283e-01
6.863016360885144662e-01,4.766385308858580583e-01,5.100998424245105634e-01,2.547478023050721019e-01,5.038391078409593105e-01,5.190920464573319792e-01,4.932650800585115514e-01,7.001801417639691438e-01,8.093243073396597653e-01,1.505045112272711816e-01,9.268270650876906380e-01,9.478807642820389345e-01,3.661908480935504584e-01,7.418112414629001415e-03,1.227011292751709233e-02,1.065991719156413053e-02,6.070253750875264371e-09,3.525720329926004815e-02,7.125200367350269450e-06,5.000000057375250107e-01,3.372407738238758501e-02,1.861856978597936363e-01
6.783394294212679032e-01,4.712799322937720747e-01,5.096527882272010590e-01,2.865922066577767380e-01,4.962233519178320118e-01,5.139142351798243746e-01,4.861770922879299905e-01,7.001801417639691438e-01,8.094572681216396504e-01,1.505045112272711816e-01,9.169557113327786446e-01,9.364838703879503345e-01,3.888444491811074988e-01,7.698890197540989543e-03,1.244870453871228279e-02,1.118350316556172147e-02,6.063437869682485610e-09,3.189003928327935333e-02,1.876736829961208588e-06,5.000000028620839032e-01,8.431873941155406532e-03,1.289337922370385192e-01
6.703772415090540893e-01,4.671306997427393526e-01,5.083227441521634971e-01,3.184368036770642285e-01,4.882618379772145079e-01,5.042514753950217976e-01,4.776720491552975956e-01,7.001801417639691438e-01,8.095423363945696282e-01,1.505045112272711816e-01,9.070383528899848002e-01,9.259856419309236975e-01,4.041640325752965945e-01,8.027881990518882793e-03,1.257962268719259834e-02,1.165947209167150604e-02,6.002412906821729406e-09,3.070299871196743857e-02,5.612743020015854182e-07,5.000000020979189497e-01,2.107701189546534737e-03,1.077139454984318012e-01
6.624150747948204243e-01,4.646269176633494591e-01,5.037857240716431262e-01,3.502802710611895853e-01,4.803875076849537518e-01,4.950372694886613911e-01,4.760679520154402766e-01,7.001801417639691438e-01,8.095967630529535830e-01,1.505045112272711816e-01,8.986573002095320506e-01,9.153309954778089397e-01,4.070829922788648525e-01,8.368923794105365133e-03,1.235357021014542138e-02,1.143342419501003349e-02,6.171632212056676066e-09,3.040624055235538470e-02,2.307193042616287381e-07,5.000000019461479095e-01,5.267673954716904769e-04,1.027543677707089403e-01
6.544529221869783697e-01,4.623127099429901188e-01,5.014266442420091119e-01,3.821251381083806131e-01,4.739836476129298815e-01,4.878223898453141749e-01,4.771965176897972061e-01,7.001801417639691438e-01,8.096315852145047343e-01,1.505045112272711816e-01,8.895595014853308058e-01,9.051512045804690487e-01,4.108373556221738276e-01,8.885506035047228621e-03,1.229705518138264272e-02,1.120438634961649915e-02,5.772794804511915130e-09,2.998699873170793118e-02,1.460250548443548901e-07,5.000000018408334856e-01,1.316465116057263362e-04,1.001342785159047288e-01
6.464907862265721894e-01,4.596578136571370377e-01,5.028009333044271001e-01,4.139696943361622639e-01,4.682633417279849497e-01,4.818036061279106219e-01,4.790745962979918726e-01,7.001801417639691438e-01,8.096538644241989546e-01,1.505045112272711816e-01,8.786398376634805274e-01,8.963178864304172100e-01,4.212123796723027391e-01,9.014652768618380482e-03,1.236918592305674171e-02,1.106086705646587912e-02,5.569532508628282370e-09,2.867453867847555293e-02,1.229818342932380574e-07,5.000000018040591243e-01,3.289970672934956671e-05,9.154323659039352579e-02
6.385286760150256091e-01,4.591300105020310052e-01,5.055552803141976081e-01,4.458142286506829310e-01,4.663090614450497440e-01,4.758550068439726943e-01,4.828160836514180931e-01,7.001801417639691438e-01,8.096681186566327959e-01,1.505045112272711816e-01,8.682218117729413320e-01,8.871098999377445837e-01,4.256143977285175017e-01,8.788152913781445072e-03,1.230096015179408392e-02,1.093872150069187706e-02,5.368641649125248945e-09,2.696618591778351948e-02,1.124123788124263532e-07,5.000000017736554447e-01,8.221219757444817386e-06,8.007885656799333673e-02
6.305665900180380534e-01,4.604796860315597540e-01,5.078150686649988144e-01,4.776586654643479868e-01,4.704504501684999562e-01,4.700072991698508451e-01,4.837544236801311626e-01,7.001801417639691438e-01,8.096772385107509074e-01,1.505045112272711816e-01,8.588121831388085825e-01,8.762334742153669032e-01,4.221858328472911648e-01,8.731523221676912652e-03,1.228390225537252974e-02,1.090818477861785554e-02,5.485162664184128074e-09,2.653908704225024784e-02,1.080506616243363060e-07,5.000000017836893074e-01,2.056478282794987766e-06,7.721276668767970697e-02
6.226045265462956113e-01,4.616575780369971960e-01,5.049967637788207453e-01,5.095019794958591808e-01,4.727204783654543330e-01,4.659830764476671217e-01,4.843246008794259705e-01,7.001801417639691438e-01,8.096830733909889943e-01,1.505045112272711816e-01,8.505465253895951871e-01,8.644596122091117163e-01,4.099628192807968641e-01,8.717364245342867565e-03,1.227963747170066067e-02,1.090054885653935976e-02,5.856517166888108035e-09,2.643229969758995046e-02,1.075585887135404802e-07,5.000000018699888304e-01,5.160928102800052564e-07,7.649615006229672221e-02
6.146424819453507604e-01,4.625422888757154682e-01,4.999397317562565557e-01,5.413452583193256729e-01,4.740563913741123181e-01,4.596474577808948858e-01,4.865477024455417965e-01,7.001801417639691438e-01,8.096868065458125985e-01,1.505045112272711816e-01,8.420315053534328520e-01,8.523113798560348897e-01,3.941546662530039380e-01,9.231382458642035591e-03,1.193354136192799689e-02,1.038108974202239972e-02,5.918976537896679941e-09,2.468040680837799150e-02,1.064708866432159067e-07,5.000000019066966894e-01,1.307063630800535330e-07,7.907722844294612363e-02
6.066804516517884105e-01,4.625501423108913657e-01,4.972420372128778521e-01,5.731902145780919389e-01,4.741000447300499077e-01,4.541648659026565338e-01,4.873142709918024673e-01,7.001801417639691438e-01,8.096891950172754315e-01,1.505045112272711816e-01,8.316624059504886812e-01,8.420947946925543270e-01,3.847153509522983628e-01,9.532440962747096985e-03,1.167447648636802532e-02,1.016493317959016839e-02,6.421032712308471231e-09,2.475991179662764829e-02,1.029167510083199325e-07,5.000000019710004739e-01,3.451506778010961513e-08,8.144788213250227227e-02
5.987184479729472653e-01,4.599646392225011371e-01,4.948533338605733967e-01,6.050344847251311053e-01,4.709821471409650906e-01,4.483077011610441254e-01,4.882667273454095458e-01,7.001801417639691438e-01,8.096907231606816913e-01,1.505045112272711816e-01,8.194335618966572810e-01,8.338657228723488357e-01,3.848670495024567040e-01,9.780234601700528441e-03,1.160970887801971926e-02,1.002463190184397189e-02,5.952522148630333971e-09,2.426223035010868778e-02,1.006978228669485404e-07,5.000000019105104165e-01,1.048277464293475138e-08,8.790646458189207979e-02
5.907564697628165939e-01,4.565457940240155721e-01,4.938817338359167697e-01,6.368789449616363285e-01,4.686646942446718866e-01,4.422716146604979692e-01,4.875442270313298798e-01,7.001801417639691438e-01,8.096917008664263893e-01,1.505045112272711816e-01,8.061925028508456492e-01,8.272863172124897968e-01,3.897959996516514591e-01,9.928444843638958850e-03,1.150725469106704014e-02,9.903292649911660250e-03,6.018242910796044738e-09,2.327517590685582172e-02,9.860599039227324626e-08,5.000000019022478037e-01,4.747742059172042728e-09,9.124638670678060504e-02
5.827945252521162800e-01,4.541518476823326322e-01,4.925829270291350315e-01,6.687235604681576184e-01,4.676565448342217546e-01,4.363370467591293211e-01,4.853363967370064036e-01,7.001801417639691438e-01,8.096923264023017097e-01,1.505045112272711816e-01,7.932199260669119401e-01,8.203901813216556427e-01,3.894174563264877209e-01,9.965497199502423506e-03,1.139537819840617805e-02,9.786693932470502677e-03,5.896110384481500217e-09,2.251082739774559749e-02,9.745375564590892288e-08,5.000000018914468880e-01,3.315479161597487794e-09,9.139128770615269348e-02
5.748326049394349990e-01,4.533023803533569596e-01,4.933167208329058417e-01,7.005684169109569481e-01,4.655864934464478133e-01,4.305632268186342926e-01,4.855381181545665448e-01,7.001801417639691438e-01,8.096927266199882567e-01,1.505045112272711816e-01,7.801226279346447079e-01,8.142747574598464544e-01,3.884778542347126495e-01,9.888496524753718001e-03,1.136740875763135941e-02,9.671281359683273071e-03,5.971321333061706822e-09,2.214721479614448207e-02,9.655976216796887938e-08,5.000000018960127912e-01,2.740249225165401468e-09,9.039235879330412282e-02
5.668707186277591736e-01,4.533384197039865837e-01,4.926693070357907600e-01,7.324129816409175042e-01,4.626098266187256280e-01,4.241418407859426365e-01,4.885534842742932926e-01,7.001801417639691438e-01,8.096929826791576801e-01,1.505045112272711816e-01,7.672399119326862582e-01,8.072677275932734764e-01,3.819464433047875529e-01,9.696720039451921583e-03,1.136041572465605262e-02,9.642427474069011767e-03,5.822662470064398361e-09,2.188378326373877081e-02,9.597408222187825823e-08,5.000000018566153059e-01,2.489572079348879691e-09,8.910748926489779620e-02
5.589088616141002497e-01,4.542466103004352829e-01,4.909614950700543212e-01,7.642573854332636030e-01,4.608889824384441725e-01,4.186848957867309040e-01,4.887724185635106133e-01,7.001801417639691438e-01,8.096931465057460864e-01,1.505045112272711816e-01,7.544179766918426289e-01,7.993958634999883683e-01,3.695766000494963843e-01,9.821298378953959365e-03,1.127240484107686416e-02,9.548950494050165855e-03,5.927729536222824675e-09,2.164539941285351099e-02,9.503262780796208175e-08,5.000000018743158137e-01,2.570936467656970804e-09,8.878627035394494327e-02
5.509470305084072095e-01,4.562882812561563917e-01,4.897061639865213922e-01,7.961019772063059330e-01,4.613135203313598054e-01,4.137682064679390481e-01,4.887441199113710111e-01,7.001801417639691438e-01,8.096932513219536887e-01,1.505045112272711816e-01,7.411828016139699882e-01,7.917967158346090883e-01,3.552509783774753238e-01,9.852447781706031790e-03,1.133666211535177409e-02,9.439319667210559206e-03,5.967837009121223231e-09,2.141327625681524460e-02,9.500354533805876251e-08,5.000000018693003812e-01,2.482095533252621492e-09,8.836091939903682746e-02
5.429852260427893151e-01,4.576227301302552841e-01,4.887705675356118218e-01,8.279468168437313924e-01,4.605341915554679311e-01,4.099632834253272851e-01,4.901053515112345771e-01,7.001801417639691438e-01,8.096933183833354697e-01,1.505045112272711816e-01,7.272694635959773279e-01,7.857129672581785185e-01,3.439119371418181692e-01,9.860234452626149074e-03,1.135272584646899313e-02,9.411909316718598817e-03,6.049396657045446330e-09,2.118271698811127757e-02,9.391511999358579280e-08,5.000000018915976563e-01,2.469658470978267569e-09,8.756448630880793449e-02
5.350234528445049209e-01,4.581130425099619874e-01,4.874895251576645272e-01,8.597915388928532021e-01,4.599584246829025447e-01,4.088180826677561552e-01,4.910108800739588220e-01,7.001801417639691438e-01,8.096933612891897836e-01,1.505045112272711816e-01,7.128564189208193014e-01,7.805623209874633650e-01,3.336752207445290996e-01,9.689656359803863403e-03,1.127048064915556549e-02,9.405055655828366279e-03,5.988331726155803620e-09,2.095255070674864606e-02,9.313944465656138327e-08,5.000000018801834534e-01,2.433535070494352514e-09,8.633023771484302222e-02
5.270617080153736644e-01,4.580611086668149867e-01,4.869636166245723263e-01,8.916363514296319348e-01,4.597435318495287082e-01,4.082721360082510742e-01,4.920444272832006916e-01,7.001801417639691438e-01,8.096933887403439112e-01,1.505045112272711816e-01,6.981019329080094815e-01,7.769055695757126623e-01,3.266673877567545792e-01,9.819535555869797136e-03,1.124991762952754284e-02,9.317080291217815641e-03,6.005543735751172347e-09,2.072248036676530014e-02,9.231571779613374157e-08,5.000000018849575234e-01,2.428145515629271150e-09,8.671174718521644509e-02
5.243844683381643224e-01,4.581336184766061081e-01,4.867213681345515797e-01,9.234818003684835963e-01,4.600257168860044654e-01,4.079173117012668826e-01,4.931591612198684693e-01,7.001801417639691438e-01,8.096934063035849949e-01,1.505045112272711816e-01,6.928766226678366724e-01,7.901110201318795045e-01,3.201521371562908724e-01,9.938267110728310830e-03,1.124477596519467791e-02,9.295085327289983115e-03,8.500339217062657111e-09,2.066496258519348594e-02,9.190688927156504753e-08,5.000000022106440012e-01,3.829005554355223409e-09,8.611704231649199015e-02
5.238674271233302315e-01,4.579863409037085442e-01,4.860389940365106298e-01,9.553265797221267563e-01,4.597438437647063392e-01,4.073243041078651316e-01,4.937516042228044522e-01,7.001801417639691438e-01,8.096934175405420264e-01,1.505045112272711816e-01,6.908293610165490151e-01,8.094003799179834147e-01,3.130158192518699978e-01,9.881694747676316587e-03,1.124348772002563279e-02,9.289582908967071104e-03,7.046693124676250148e-09,2.030553924131131560e-02,8.956581084091404255e-08,5.000000020216827101e-01,2.811553952248542319e-09,8.562330184304745018e-02
5.233054922795806752e-01,4.579653029254764363e-01,4.855456148108899250e-01,9.856235436079182621e-01,4.594895170665782014e-01,4.063430311747388002e-01,4.937701253499328091e-01,7.001801417639691438e-01,8.096934247299441001e-01,1.505045112272711816e-01,6.878735901150675458e-01,8.274213821528216828e-01,3.064543993634231134e-01,9.867545135723901004e-03,1.124316285123849388e-02,9.288204526309377582e-03,5.838332601923167671e-09,2.004313874159727171e-02,8.632358925462144305e-08,5.000000018586564510e-01,2.414390169820525905e-09,8.549984384194951603e-02
5.221201519455561657e-01,4.582991133016567908e-01,4.845267542571852215e-01,9.964052663933752330e-01,4.595664047803971752e-01,4.044172619215650188e-01,4.927802654450881836e-01,7.001801417639691438e-01,8.096934293297216589e-01,1.505045112272711816e-01,6.847310858451008952e-01,8.303253913175067114e-01,3.013720725011546642e-01,9.950272686136458003e-03,1.124308047499031002e-02,9.115335905701894142e-03,3.876397987153933640e-09,1.997754134779775037e-02,8.384870230481141317e-08,5.000000015980696766e-01,2.058224592537419467e-09,8.477889129915636146e-02
5.198613752388834275e-01,4.587807224358475544e-01,4.818971000539804539e-01,9.991006285324894876e-01,4.646171269378669977e-01,4.012977751681018335e-01,4.913447924262829281e-01,7.001801417639691438e-01,8.096934322726581090e-01,1.505045112272711816e-01,6.804134667353208821e-01,8.235806473562440333e-01,2.931521887010980487e-01,9.970954120334976981e-03,1.124305960316400975e-02,9.072119305544181986e-03,5.052450131712004362e-09,1.978862318421562017e-02,8.340278991998965328e-08,5.000000017486804227e-01,2.430323215469716466e-09,8.770400108662093630e-02
5.170975678883468207e-01,4.592653365154287237e-01,4.800683912430646072e-01,9.997744431884495464e-01,4.682885339822041026e-01,3.981498741380306017e-01,4.898918005076261517e-01,7.001801417639691438e-01,8.096934341555480641e-01,1.505045112272711816e-01,6.754494361982915640e-01,8.146063429540090217e-01,2.874186224092362685e-01,9.976125476998507283e-03,1.132931411281563709e-02,9.061312182620174377e-03,6.017638061292228952e-09,1.956886098732382728e-02,8.321970410077284481e-08,5.000000019222539116e-01,2.645654733682787624e-09,8.843539368278185986e-02
5.164361916524091711e-01,4.594788406796516123e-01,4.803939387785048365e-01,9.999428743875036218e-01,4.702806499435996379e-01,3.969282967571999277e-01,4.900702367963292727e-01,7.001801417639691438e-01,8.096934353602205370e-01,1.505045112272711816e-01,6.743609732875247564e-01,8.131250217664308666e-01,2.879575892668400083e-01,1.006368205473159513e-02,1.152340625648736079e-02,8.972348869132795030e-03,6.558988137169973482e-09,1.951391778609160021e-02,8.334841155682125653e-08,5.000000019737170787e-01,3.462847419122054046e-09,8.827317475502002853e-02
5.163142015707599120e-01,4.595314704938055494e-01,4.801560765154543886e-01,9.999850015719541352e-01,4.704804706426706229e-01,3.962934743355803202e-01,4.908625705969572595e-01,7.001801417639691438e-01,8.096934361309695571e-01,1.505045112272711816e-01,6.740663340950097115e-01,8.127456506900272437e-01,2.874546923010233845e-01,9.999306684268648160e-03,1.157192867703452435e-02,8.950106990946614036e-03,6.155828853434951737e-09,1.932765536236683013e-02,8.329974233225141510e-08,5.000000019189387856e-01,2.719603732016915591e-09,8.754251816150189491e-02
5.163833663242544114e-01,4.604332045264033502e-01,4.796217693000738858e-01,9.999955372127227182e-01,4.703712092197961936e-01,3.956621689148343002e-01,4.915789155548120903e-01,7.001801417639691438e-01,8.096934366240946535e-01,1.505045112272711816e-01,6.740367219694726186e-01,8.125251737790599726e-01,2.845012911618647333e-01,9.983212941879959432e-03,1.149779804563805241e-02,8.944546422640291955e-03,5.960472233665069792e-09,1.928108987093604676e-02,8.370907432361447211e-08,5.000000018815122793e-01,2.478040518696806409e-09,8.839500045855828991e-02
